aa	ɑ ɑ
device	d ə v a ɪ s
devil	d ɛ v ə l
devils	d ɛ v l̩ z
devin	d ɛ v ɪ n
devious	d i v i ə s
devizes	d ɪ v a ɪ z ɪ z
devlin	d ɛ v l ɪ n
devoid	d ɪ v ɔ ɪ d
devote	d ɪ v o ʊ t
devotion	d ɪ v o ʊ ʃ ə n
devout	d ɪ v a ʊ t
devs	d ɛ v z
dewan	d ə w ɑ n
dewar	d u ə ɹ
dewberry	d u b ɛ ɹ i
dewsbury	d j u z b ə ɹ i
dexlansoprazole	d ɛ k s l æ n s o ʊ p ɹ ə z o ʊ l
dexter	d ɛ k s t ɚ
dexterity	d ɛ k s t ɛ ɹ ɪ t i
dexterous	d ɛ k s t ɹ ə s
dexterously	d ɛ k s t ə ɹ ə s l i
dextrer	d ɛ k s t ɹ ə ɹ
dextrin	d ɛ k s t ɹ ɪ n
dextromethorphan	d ɛ k s t ɹ o ʊ m ə θ ɔ ɹ f æ n
dezh	d ɛ ʒ
dghaisa	d a ɪ̯ s ə
dharma	d ɑ ɹ m ə
dharmic	d ɑ ɹ m ɪ k
dhikr	ð i k ɹ
dhimma	ð ɪ m m a
dhimmi	ð ɪ m i
dhole	d o ʊ l
dhow	d a ʊ
dhyana	d j ɑ n ə
diabolic	d a ɪ ə b ɔ l ɪ k
diabologue	d a ɪ æ b ə l ɔ ɡ
diachronic	d a ɪ ə k ɹ ɑ n ɪ k
diachrony	d a ɪ æ k ɹ ə n i
diacranterian	d a ɪ ə k ɹ æ n t ɪ ɹ i ə n
diaeresis	d a ɪ ɛ ɹ ə s ɪ s
diagenesis	d a ɪ ə d͡ʒ ɛ n ə s ɪ s
diagnose	d a ɪ ə ɡ n o ʊ s
diagnosis	d a ɪ ə ɡ n o ʊ s ɪ s
dialectal	d a ɪ ə l ɛ k t ə l
dialectic	d a ɪ ə l ɛ k t ɪ k
dialects	d a ɪ ə l ɛ k t s
dialer	d a ɪ ə l ɚ
dialetheism	d a ɪ ə l ɛ θ i ɪ z ə m
diallage	d a ɪ æ l ə d͡ʒ i
dialog	d a ɪ ə l ɑ ɡ
dialogical	d a ɪ ə l ɑ d͡ʒ ɪ k ə ɫ
dialysate	d a ɪ æ l ɪ s e ɪ t
dialysis	d a ɪ æ l ɪ s ɪ s
diamagnetic	d a ɪ ə m æ ɡ n ɛ t ɪ k
diameter	d a ɪ æ m ɪ t ɚ
diamine	d a ɪ ə m i n
diamond	d a ɪ ə m ə n d
diamondback	d a ɪ m ə n d b æ k
diamonds	d a ɪ ə m ə n d z
diana	d a ɪ æ n ə
diangle	d a ɪ æ ŋ ɡ ə l
dianoetic	d a ɪ ə n o ʊ ɛ t ɪ k
diaper	d a ɪ ə p ɚ
diaphane	d a ɪ ə f e ɪ n
diaphanous	d a ɪ æ f ə n ə s
diaphoretic	d a ɪ ə f ə ɹ ɛ t ɪ k
diapie	d a ɪ p i
diapir	d a ɪ ə p ɪ ə ɹ
diarist	d a ɪ ə ɹ ɪ s t
diasporal	d a ɪ æ s p ə ɹ ə l
diastasis	d a ɪ ə s t e ɪ s ɪ s
diastema	d a ɪ ə s t i m ə
diastereoselectivity	d a ɪ ə s t ɛ ɹ i o ʊ s ə l ɛ k t ɪ v ɪ t i
diastole	d a ɪ æ s t ə l i
diathesis	d a ɪ æ θ ə s ɪ s
diathetic	d a ɪ ə θ ə t ɪ k
diatom	d a ɪ ə t ɑ m
diatomaceous	d a ɪ ə t ə m e ɪ ʃ ə s
diatribe	d a ɪ ə t ɹ a ɪ b
diatrizoate	d a ɪ ə t ɹ a ɪ z o ʊ e ɪ t
diazepam	d a ɪ æ z ə p æ m
diazoxide	d a ɪ ə z ɑ k s a ɪ d
dibble	d ɪ b ə l
dicacious	d a ɪ k e ɪ ʃ ə s
dicarboximide	d a ɪ k ɑ ɹ b ɔ k s ɪ m a ɪ d
dice	d a ɪ s
diced	d a ɪ s t
dices	d a ɪ s ɪ z
dichotomous	d a ɪ k ɑ t ə m ə s
dicing	d a ɪ s ɪ ŋ
dicings	d a ɪ s ɪ ŋ z
dick	d ɪ k
dicked	d ɪ k t
dickhead	d ɪ k h ɛ d
dickies	d ɪ k i z
dicking	d ɪ k ɪ ŋ
dickish	d ɪ k ɪ ʃ
dickpic	d ɪ k p ɪ k
dicks	d ɪ k s
dicky	d ɪ k i
diclofenac	d a ɪ k l o ʊ f ə n æ k
dicloxacillin	d a ɪ k l ɑ k s ə s ɪ l ɪ n
dicrotic	d a ɪ k ɹ ɑ t ɪ k
dictamina	d ɪ k t æ m i n ə
dictate	d ɪ k t e ɪ t
dictated	d ɪ k t e ɪ t ɪ d
dictation	d ɪ k t e ɪ ʃ ə n
dictator	d ɪ k t e ɪ t ə ɹ
dictatorship	d ɪ k t e ɪ t ə ɹ ʃ ɪ p
dictionary	d ɪ k ʃ ə n ɛ ɹ i
dictum	d ɪ k t ə m
dictynid	d ɪ k t ɪ n ɪ d
dicyclomine	d a ɪ s a ɪ k l ə m i n
did	d ɪ d
didanosine	d a ɪ d æ n ə s i n
diddest	d ɪ d ɛ s t
didelphic	d a ɪ d ɛ l f ɪ k
dideoxycytidine	d a ɪ d i ɑ k s ɪ s ɪ t ɪ d i n
dideoxyinosine	d a ɪ d i ɑ k s ɪ ɪ n ə s i n
didgeridoo	d ɪ d͡ʒ ə ɹ i d u
didja	d ɪ d͡ʒ ə
dido	d a ɪ d o ʊ
didst	d ɪ d s t
die	d a ɪ
died	d a ɪ d
diedre	d ɪ ə d r i
diegetic	d a ɪ ə d͡ʒ ɛ t ɪ k
diego	d i e ɪ ɡ o ʊ
dielectrophoretic	d a ɪ ə l ɛ k t ɹ o ʊ f ə ɹ ɛ t ɪ k
diencephalon	d a ɪ ə n s ɛ f ə l ɔ n
diene	d a ɪ i n
diener	d i n ə ɹ
dieppe	d i ɛ p
dieretic	d a ɪ ə ɹ ɛ t ɪ k
dies	d a ɪ z
diet	d a ɪ ə t
dietetic	d a ɪ ə t ɛ t ɪ k
diethylstilbestrol	d a ɪ ɛ θ ə l s t ɪ l b ɛ s t ɹ ɔ l
dietitian	d a ɪ ə t ɪ ʃ ə n
difenoxin	d a ɪ f ə n ɑ k s ɪ n
diff	d ɪ f
differ	d ɪ f ɚ
difference	d ɪ f ɹ ə n t s
differences	d ɪ f ɹ ə n s ɪ z
different	d ɪ f ə ɹ ə n t
difficult	d ɪ f ɪ k ə l t
difficulties	d ɪ f ɪ k ə l t i z
diffidence	d ɪ f ɪ d ə n s
difform	d ɪ f ɔ ɹ m
diffraction	d ɪ f ɹ æ k ʃ ə n
digamma	d a ɪ ɡ æ m ə
digamy	d ɪ ɡ ə m i
digger	d ɪ ɡ ɚ
digital	d ɪ d͡ʒ ɪ t ə ɫ
digitigrade	d ɪ d͡ʒ ə t ə ɡ ɹ e ɪ d
digitonin	d ɪ d͡ʒ ɪ t o ʊ n ɪ n
digladiation	d a ɪ ɡ l æ d i e ɪ ʃ ə n
diglossia	d a ɪ ɡ l ɑ s i ə
digne	d a ɪ n
digression	d a ɪ ɡ ɹ ɛ ʃ ə n
dihedral	d a ɪ h i d ɹ ə l
dihydropteroate	d a ɪ h a ɪ d ɹ ɔ p t ɛ ɹ o ʊ e ɪ t
diiodohydroxyquinoline	d a ɪ a ɪ ə d o ʊ h a ɪ d ɹ ɑ k s ɪ k w ɪ n ə l i n
diktat	d ɪ k t ɑ t
dilapidation	d ə l æ p ə d e ɪ ʃ ə n
dilate	d a ɪ l e ɪ t
dilation	d a ɪ l e ɪ ʃ ə n
dildo	d ɪ l d o ʊ
dilettante	d ɪ l ɪ t ɑ n t
dilf	d ɪ l f
dilithium	d a ɪ l ɪ θ ɪ ə m
dill	d ɪ ɫ
dillon	d ɪ l ə n
dills	d ɪ l z
dillseed	d ɪ l s i d
dilly	d ɪ l i
dillydally	d ɪ l i d æ l i
dilogy	d ɪ l ə d͡ʒ i
diltiazem	d ɪ l t a ɪ ə z ɛ m
diluent	d ɪ l j u ə n t
dim	d ɪ m
dime	d a ɪ m
dimenhydrinate	d a ɪ m ɛ n h a ɪ d ɹ ɪ n e ɪ t
dimer	d a ɪ m ə ɹ
dimes	d a ɪ m z
dimeter	d ɪ m ɪ t ə ɹ
dimethylethanolamine	d a ɪ m ɛ θ ɪ l ɛ θ ə n ɔ l ə m i n
dimethyltryptamine	d a ɪ m ɛ θ ə l t ɹ ɪ p t ə m i n
dimication	d ɪ m ɪ k e ɪ ʃ ə n
diming	d a ɪ m ɪ ŋ
diminish	d ɪ m ɪ n ɪ ʃ
diminished	d ɪ m ɪ n ɪ ʃ t
dimly	d ɪ m l i
dimmed	d ɪ m d
dimmer	d ɪ m ə ɹ
dimmest	d ɪ m ɪ s t
dimming	d ɪ m ɪ ŋ
dimp	d ɪ m p
dimplement	d ɪ m p ə l m ə n t
dims	d ɪ m z
din	d ɪ n
dina	d i n ə
dinah	d i n ə
dincha	d ɪ n t͡ʃ ə
dine	d a ɪ n
dined	d a ɪ n d
diner	d a ɪ n ə ɹ
dines	d a ɪ n z
dinette	d a ɪ n ɛ t
dingbat	d ɪ ŋ b æ t
dinge	d ɪ n d͡ʒ
dingle	d ɪ ŋ ɡ l̩
dingleberry	d ɪ ŋ ɡ ə ɫ b ɛ ɹ i
dingolay	d ɪ ŋ ɡ o ʊ l e ɪ
dingus	d ɪ ŋ ɡ ə s
dingy	d ɪ n d͡ʒ i
dink	d ɪ ŋ k
dinkey	d ɪ ŋ k i
dinklage	d ɪ ŋ k l ɪ d͡ʒ
dinkum	d ɪ ŋ k ə m
dinky	d ɪ ŋ k i
dinna	d ɪ n ə
dinned	d ɪ n d
dinner	d ɪ n ə ɹ
dinning	d ɪ n ɪ ŋ
dinoprostone	d a ɪ n ə p ɹ ɑ s t o ʊ n
dins	d ɪ n z
dint	d ɪ n t
dinton	d ɪ n t ə n
diocesan	d a ɪ ɑ s ɪ s ə n
diocese	d a ɪ ə s ɪ s
diocletian	d a ɪ ə k l i ʃ ə n
diode	d a ɪ o ʊ d
dioecious	d a ɪ̯ i ʃ ə s
dioecy	d a ɪ ɪ s i
dioestrus	d a ɪ i s t ɹ ə s
diomedes	d a ɪ ə m i d i z
dion	d i ɑ n
dionaea	d a ɪ ə n i ə
dione	d a ɪ o ʊ n i
dioptric	d a ɪ ɔ p t ɹ ɪ k
dioptrical	d a ɪ ɔ p t ɹ ɪ k ə l
dioxide	d a ɪ ɔ k s a ɪ d
dioxin	d a ɪ ɑ k s ə n
dip	d ɪ p
diphenhydramine	d a ɪ f ɛ n h a ɪ d ɹ ə m i n
diphenoxylate	d a ɪ f ɛ n ɑ k s ə l e ɪ t
diphone	d a ɪ f o ʊ n
diphones	d a ɪ f o ʊ n z
diphthongal	d ɪ f θ ɔ ŋ ɡ ə l
diploe	d ɪ p l o ʊ i
diplomacy	d ɪ p l o ʊ m ə s i
diplomat	d ɪ p l ə m æ t
diplomatic	d ɪ p l ə m æ t ɪ k
diplomatist	d ɪ p l o ʊ m ə t ɪ s t
dipole	d a ɪ p o ʊ l
dipper	d ɪ p ɚ
dipping	d ɪ p ɪ ŋ
dippings	d ɪ p ɪ ŋ z
diprotodon	d a ɪ p ɹ o ʊ t ə d ɔ n
dips	d ɪ p s
dipshidiot	d ɪ p ʃ ɪ d i ə t
dipstick	d ɪ p s t ɪ k
diptote	d ɪ p t o ʊ t
diptych	d ɪ p t ɪ k
dire	d a ɪ̯ ə ɹ
direction	d a ɪ ɹ ɛ k ʃ ə n
directional	d ɪ ɹ ɛ k ʃ ə n ə l
directive	d ə ɹ ɛ k t ɪ v
directors	d ɪ ɹ ɛ k t ɚ z
dirempt	d ɪ ɹ ɛ m p t
dirempted	d ɪ ɹ ɛ m p t ɪ d
dirge	d ɝ d͡ʒ
dirigent	d ɪ ɹ ɪ d͡ʒ ə n t
dirigible	d ɪ ɹ ə d͡ʒ ə b ə l
dirigisme	d i ɚ ɹ ɪ ʒ ɪ z ə m
dirt	d ɝ t
disablist	d ɪ s e ɪ b l ɪ s t
disabuse	d ɪ s ə b j u z
disadvantage	d ɪ s ə d v æ n t ɪ d͡ʒ
disaffect	d ɪ s ə f ɛ k t
disaffection	d ɪ s ə f ɛ k ʃ ə n
disagree	d ɪ s ə ɡ ɹ i
disallow	d ɪ s ə l a ʊ
disanimation	d ɪ s æ n ɪ m e ɪ ʃ ə n
disappear	d ɪ s ə p ɪ ɹ
disappeared	d ɪ s ə p ɪ ɹ d
disappointed	d ɪ s ə p ɔ ɪ n t ɪ d
disapproval	d ɪ s ə p ɹ u v ə l
disaster	d ɪ z æ s t ɚ
disavow	d ɪ s ə v a ʊ
disbud	d ɪ s b ʌ d
disburden	d ɪ s b ɜ ɹ d ə n
disburse	d ɪ s b ɚ s
discard	d ɪ s k ɑ ɹ d
discede	d ɪ s i d
discept	d ɪ s ɛ p t
disceptation	d ɪ s ɛ p t e ɪ ʃ ə n
discerned	d ɪ s ɝ n d
discernible	d ɪ s ɝ n ɪ b l̩
discernibly	d ɪ s ɜ ɹ n ɪ b l i
discerning	d ɪ s ɝ n i ŋ
discerptor	d ɪ s ɜ p t ə
discharged	d ɪ s t͡ʃ ɑ ɹ d͡ʒ d
disciple	d ɪ s a ɪ p l̩
disciples	d ɪ s a ɪ p l̩ z
discipline	d ɪ s ə p l ɪ n
disclaimer	d ɪ s k l e ɪ m ɚ
disclaimers	d ɪ s k l e ɪ m ɚ z
disclame	d ɪ s k l e ɪ m
disclose	d ɪ s k l o ʊ z
disclusion	d ɪ s k l u ʒ ə n
disco	d ɪ s k o ʊ
discoast	d ɪ s k o ʊ s t
discographies	d ɪ s k ɔ ɡ ɹ ə f ɪ z
discography	d ɪ s k ɑ ɡ ɹ ə f i
discombobulate	d ɪ s k ə m b ɔ b j ə l e ɪ t
discomfit	d ɪ s k ʌ m f ɪ t
discomfort	d ɪ s k ʌ m f ɚ t
discommode	d ɪ s k ə m o ʊ d
disconcert	d ɪ s k ə n s ɝ t
disconcerting	d ɪ s k ə n s ɝ t ɪ ŋ
disconcertingly	d ɪ s k ə n s ɝ t ɪ ŋ l i
disconnection	d ɪ s k ə n ɛ k ʃ ə n
disconsolate	d ɪ s k ɑ n s ə l ɪ t
disconsonant	d ɪ s k ɔ n s ə n ə n t
discontented	d ɪ s k ə n t ɛ n t ɛ d
discontentment	d ɪ s k ə n t ɛ n t m ə n t
discontinue	d ɪ s k ə n t ɪ n j u
discontinuer	d ɪ s k ə n t ɪ n j u ə ɹ
discophilia	d ɪ s k o ʊ f ɪ l j ə
discord	d ɪ s k ɔ ɹ d
discordianism	d ɪ s k ɔ ɹ d i ə n ɪ z ə m
discount	d ɪ s k a ʊ n t
discourage	d ɪ s k ɝ ɪ d͡ʒ
discouraged	d ɪ s k ɝ ɪ d͡ʒ d
discoursive	d ɪ s k ɔ ɹ s ɪ v
discover	d ɪ s k ʌ v ɚ
discovered	d ɪ s k ʌ v ɚ d
discovering	d ɪ s k ʌ v ə ɹ ɪ ŋ
discovery	d ɪ s k ʌ v ə ɹ i
discrepancy	d ɪ s k ɹ ɛ p ə n s i
discrete	d ɪ s k ɹ i t
discretion	d ɪ s k ɹ ɛ ʃ ə n
discretionary	d ɪ s k ɹ ɛ ʃ ə n ɛ ɹ i
discrimination	d ɪ s k ɹ ɪ m ɪ n e ɪ ʃ ə n
discriminatory	d ɪ s k ɹ ɪ m ɪ n ə t ɔ ɹ i
discure	d ɪ s k j ʊ ə ɹ
discursion	d ɪ s k ɝ ʒ ə n
discuss	d ɪ s k ʌ s
discussed	d ɪ s k ʌ s t
discussing	d ɪ s k ʌ s ɪ ŋ
discussions	d ɪ s k ʌ ʃ ə n z
disdain	d ɪ s d e ɪ n
disease	d ɪ z i z
diseased	d ɪ z i z d
diseases	d ɪ z i z ɪ z
disembarkation	d ɪ s ɪ m b ɑ k e ɪ ʃ ə n
disembogue	d ɪ s ɪ m b o ʊ ɡ
disemvowel	d ɪ s ə m v a ʊ ə l
disenfranchise	d ɪ s ɪ n f ɹ æ n t͡ʃ a ɪ z
disenfranchisement	d ɪ s ɪ n f ɹ æ n t͡ʃ a ɪ z m ə n t
disengage	d ɪ s ɪ ŋ ɡ e ɪ d͡ʒ
disengagement	d ɪ s ɪ ŋ ɡ e ɪ d͡ʒ m ə n t
disenshroud	d ɪ s ɪ n ʃ ɹ a ʊ d
disenshrouded	d ɪ s ɪ n ʃ ɹ a ʊ d ɪ d
disenslave	d ɪ s ə n s l e ɪ v
disentwine	d ɪ s ɪ n t w a ɪ n
disestablishment	d ɪ s ɪ s t æ b l ɪ ʃ m ə n t
disesteem	d ɪ s ə s t i m
disesteemer	d ɪ s ɪ s t i m ə ɹ
disfigure	d ɪ s f ɪ ɡ j ɚ
disgrace	d ɪ s ɡ ɹ e ɪ s
disgruntlement	d ɪ s ɡ ɹ ʌ n t ə l m ɪ n t
disgust	d ɪ s ɡ ʌ s t
disgusted	d ɪ s ɡ ʌ s t ɪ d
dish	d ɪ ʃ
dishabille	d ɪ s ə b i l
disharmonize	d ɪ s h ɑ ɹ m ə n a ɪ z
dishearten	d ɪ s h ɑ ɹ t ə n
dished	d ɪ ʃ t
disheir	d ɪ s ɛ ɹ
dishing	d ɪ ʃ ɪ ŋ
dishings	d ɪ ʃ ɪ ŋ z
dishonour	d ɪ s ɔ n ə ɹ
dishwasher	d ɪ ʃ w ɑ ʃ ɚ
dishy	d ɪ ʃ i
disillusionment	d ɪ s ɪ l u ʒ ə n m ə n t
disimprovement	d ɪ s ɪ m p ɹ u v m ə n t
disincentive	d ɪ s ɪ n s ɛ n t ɪ v
disinformation	d ɪ s ɪ n f ɚ m e ɪ ʃ ə n
disingenuous	d ɪ s ɪ n d͡ʒ ɛ n j u ə s
disingenuously	d ɪ s ɪ n d͡ʒ ɛ n j u ə s l i
disinhibit	d ɪ s ɪ n h ɪ b ɪ t
disinter	d ɪ s ɪ n t ɜ ɹ
disinterested	d ɪ s ɪ n t ə ɹ ɛ s t ɪ d
disintricate	d ɪ s ɪ n t ɹ ɪ k e ɪ t
disinvite	d ɪ s ɪ n v a ɪ t
disjoint	d ɪ s d͡ʒ ɔ ɪ n t
disjunctive	d ɪ s d͡ʒ ʌ ŋ k t ɪ v
disleaf	d ɪ s l i f
disleal	d ɪ s l i ə l
dislike	d ɪ s l a ɪ k
dislocate	d ɪ s l o ʊ k e ɪ t
dismay	d ɪ s m e ɪ
dismiss	d ɪ s m ɪ s
dismissed	d ɪ s m ɪ s t
dismount	d ɪ s m a ʊ n t
disopyramide	d a ɪ s ə p ɪ ɹ ə m a ɪ d
disorder	d ɪ s ɔ ɹ d ɚ
disordered	d ɪ s ɔ ɹ d ɚ d
disorient	d ɪ s ɔ ɹ i ə n t
disorientation	d ɪ s ɔ ɹ i ɪ n t e i ʃ n̩
disparadise	d ɪ s p æ ɹ ə d a ɪ s
disparadised	d ɪ s p æ ɹ ə d a ɪ s t
disparage	d ɪ s p æ ɹ ɪ d͡ʒ
dispatch	d ɪ s p æ t͡ʃ
dispeed	d ɪ s p i d
dispensatory	d ɪ s p ɛ n s ə t ɔ ɹ i
disperse	d ɪ s p ɜ ˞ s
dispersed	d ɪ s p ɜ ˞ s t
displace	d ɪ s p l e ɪ s
display	d ɪ s p l e ɪ
displayed	d ɪ s p l e ɪ d
displaying	d ɪ s p l e ɪ ɪ ŋ
displays	d ɪ s p l e ɪ z
displease	d ɪ s p l i z
displeased	d ɪ s p l i z d
displeasing	d ɪ s p l i z ɪ ŋ
displeasure	d ɪ s p l ɛ ʒ ɚ
disponge	d ɪ s p ʌ n d͡ʒ
disport	d ə s p ɔ ɹ t
disposable	d ɪ s p o ʊ z ə b l̩
disposition	d ɪ s p ə z ɪ ʃ ɪ n
disprove	d ɪ s p ɹ u v
dispunct	d ɪ s p ʌ ŋ k t
dispute	d ɪ s p j u t
disputed	d ɪ s p j u t ɪ d
disqualification	d ɪ s k w ɑ l ə f ɪ k e ɪ ʃ n
disquisition	d ɪ s k w ə z ɪ ʃ ə n
disrecommend	d ɪ s ɹ ɛ k ə m ɛ n d
disremember	d ɪ s ɹ ɪ m ɛ m b ɚ
disrepair	d ɪ s ɹ ɪ p ɛ ɚ
disreputable	d ɪ s ɹ ɛ p j ʊ t ə b ə l
disrobe	d ɪ s ɹ o ʊ b
disroot	d ɪ s ɹ u t
disruptive	d ɪ s ɹ ʌ p t ɪ v
dissatisfaction	d ɪ s s æ t ɪ s f æ k ʃ ə n
dissatisfied	d ɪ s s æ t ɪ s f a ɪ d
disseize	d ɪ s i z
dissension	d ɪ s ɛ n ʃ ə n
dissensus	d ɪ s ɛ n s ə s
dissent	d ɪ s ɛ n t
dissertate	d ɪ s ɚ t e ɪ t
dissertation	d ɪ s ɚ t e ɪ ʃ ə n
dissever	d ɪ s ɛ v ɚ
dissilition	d ɪ s ɪ l ɪ ʃ ə n
dissimilate	d ɪ s ɪ m ɪ l e ɪ t
dissipation	d ɪ s ɪ p e ɪ ʃ ə n
dissite	d ɪ s a ɪ t
dissocial	d ɪ s o ʊ ʃ ə l
dissolution	d ɪ s ə l u ʃ ə n
dissolve	d ɪ z ɑ l v
dissolved	d ɪ z ɑ l v d
dissonate	d ɪ s o n e ɪ t
dissuade	d ɪ s w e ɪ d
distaff	d ɪ s t æ f
distal	d ɪ s t ə l
distance	d ɪ s t ɪ n s
distancing	d ɪ s t ə n s ɪ ŋ
distaste	d ɪ s t e ɪ s t
distaxy	d ɪ s t æ k s i
distension	d ɪ s t ɛ n ʃ ə n
distillate	d ɪ s t ɪ l ə t
distilled	d ɪ s t ɪ l d
distilment	d ɪ s t ɪ l m ə n t
distinct	d ɪ s t ɪ ŋ k t
distinction	d ɪ s t ɪ ŋ k ʃ ə n
distinctly	d ɪ s t ɪ ŋ k t l i
distingue	d ɪ s t æ ŋ ɡ e ɪ
distinguishment	d ɪ s t ɪ ŋ ɡ w ɪ ʃ m ə n t
distitle	d ɪ s t a ɪ t ə l
distort	d ɪ s t ɔ ɹ t
distorted	d ɪ s t ɔ ɹ t ɪ d
distraction	d ɪ s t ɹ æ k ʃ ə n
distrait	d ɪ s t ɹ e ɪ
distress	d ɪ s t ɹ ɛ s
distressed	d ɪ s t ɹ ɛ s t
distressing	d ɪ s t ɹ ɛ s ɪ ŋ
distribute	d ɪ s t ɹ ɪ b j u t
distributed	d ɪ s t ɹ ɪ b j u t ɪ d
distributing	d ɪ s t ɹ ɪ b j u t ɪ ŋ
distribution	d ɪ s t ɹ ə b j u ʃ ə n
district	d ɪ s t ɹ ɪ k t
districts	d ɪ s t ɹ ɪ k t s
distrust	d ɪ s t ɹ ʌ s t
disturbance	d ɪ s t ɝ b n̩ s
disulfide	d a ɪ s ʌ l f a ɪ d
disulfiram	d a ɪ s ʌ l f ə ɹ æ m
disulfite	d a ɪ s ʌ l f a ɪ t
disunify	d ɪ s j u n ɪ̈ f a ɪ
disuse	d ɪ s j u s
disused	d ɪ s j u z d
dit	d ɪ t
ditch	d ɪ t͡ʃ
ditched	d ɪ t͡ʃ t
ditches	d ɪ t͡ʃ ɪ z
ditching	d ɪ t͡ʃ ɪ ŋ
ditchings	d ɪ t͡ʃ ɪ ŋ z
dite	d a ɪ t
dither	d ɪ ð ɚ
diu	d i u
diurnal	d a ɪ ɝ n ə l
div	d ɪ v
divaricate	d a ɪ v æ ɹ ɪ k e ɪ t
divaricated	d ʌ ɪ v æ ɹ ɪ k e ɪ t ɪ d
dived	d a ɪ̯ v d
diver	d a ɪ̯ v ə ɹ
divergent	d ɪ v ɝ d͡ʒ ə n t
diverticulum	d ɑ ɪ v ɜ t ɪ k j ə l ə m
divertive	d a ɪ v ɜ ɹ t ɪ v
dives	d a ɪ v z
divestment	d a ɪ v ɛ s t m ə n t
divey	d a ɪ v i
dividend	d ɪ v ɪ d ɛ n d
dividual	d ɪ v ɪ d͡ʒ u ə l
divination	d ɪ v i n e ɪ ʃ ə n
divine	d ɪ v a ɪ n
diviner	d ɪ v a ɪ n ə ɹ
diving	d a ɪ v ɪ ŋ
divinization	d ɪ v ɪ n a ɪ z e ɪ ʃ ə n
division	d ɪ v ɪ ʒ ə n
divisions	d ɪ v ɪ ʒ ə n z
divisor	d i v a ɪ z ɚ
divo	d i v o ʊ
divot	d ɪ v ə t
divulgate	d ɪ v ʌ l ɡ e ɪ t
dixey	d ɪ k s i
dixie	d ɪ k s i
dixon	d ɪ k s ə n
dizzardly	d ɪ z ɚ d l i
dizzy	d ɪ z i
djamba	d͡ʒ ɑ m b ə
djembe	d͡ʒ ɛ m b e ɪ
djibouti	d͡ʒ ɪ b u t i
djinn	d͡ʒ ɪ n
doable	d u ə b ə l
dob	d ɑ b
doberthar	d o bʲ e r θ a r
dobutamine	d o ʊ b j u t ə m i n
docent	d o ʊ s ə n t
docetaxel	d o ʊ s ə t æ k s l̩
dock	d ɑ k
docker	d ɑ k ɚ
dockize	d ɔ k ɑ ɪ z
docks	d ɔ k s
doctor	d ɑ k t ɚ
doctored	d ɔ k t ə ɹ d
doctors	d ɑ k t ɚ z
doctrine	d ɑ k t ɹ ɪ n
doctrines	d ɑ k t ɹ ɪ n z
documentation	d ɑ k j ə m ə n t e ɪ ʃ ə n
docusate	d ɑ k j ə s e ɪ t
dod	d ɑ d
doddle	d ɔ d ə l
dodecad	d o ʊ d ɛ k æ d
dodecahedra	d o ʊ d e k ə h i d ɹ ə
dodecahedron	d o ʊ d ɛ k ə h i d ɹ ə n
dodge	d ɔ d͡ʒ
dodman	d ɑ d m ə n
dodo	d o ʊ d o ʊ
doe	d o ʊ
doer	d u ə ɹ
does	d o ʊ z
doeth	d u ɪ θ
dofetilide	d o ʊ f ɛ t ə l a ɪ d
doggedly	d ɔ ɡ ə d l i
dogging	d ɔ ɡ ɪ ŋ
dogie	d o ʊ ɡ i
dogra	d o ʊ ɡ ɾ ə
dogwatch	d ɔ ɡ w ɔ t͡ʃ
doh	d o ʊ
doha	d o ʊ h ɑ
doily	d ɔ ɪ l i
doink	d ɔ ɪ ŋ k
doit	d ɔ ɪ t
dolan	d o ʊ l ə n
dolasetron	d o ʊ l æ s ə t ɹ ɑ n
dolcetto	d o ʊ l t͡ʃ ɛ t o ʊ
doldrum	d ɑ l d ɹ ə m
doldrums	d ɑ l d ɹ ə m z
dole	d o ʊ l
doleful	d o ʊ l f ə l
dolichophallic	d ɔ l ɪ k o ʊ f æ l ɪ k
dollar	d ɑ l ɚ
dollars	d ɑ l ɚ z
dollop	d ɑ l ə p
dolman	d o ʊ l m ə n
dolphin	d ɑ l f ɪ n
dolphinarium	d ɑ l f ɪ n ɛ ɹ i ə m
dolt	d o ʊ l t
dolts	d o ʊ l t s
dom	d ɑ m
domable	d o ʊ m ə b l̩
domal	d o ʊ m ə l
dombrowski	d ɑ m b r a ʊ s k i
dome	d o ʊ m
domestic	d ə m ɛ s t ɪ k
dominance	d ɑ m ɪ n ə n s
dominant	d ɑ m ə n ə n t
domination	d ɑ m ə n e ɪ ʃ ə n
dominic	d ɑ m ə n ɪ k
dominions	d ə m ɪ n j ə n z
domino	d ɑ m ɪ n o ʊ
dominoes	d ɑ m ɪ n o ʊ z
dominus	d ɔ m ɪ n ə s
dommy	d ɔ m i
domperidone	d ɑ m p ɛ ɹ ɪ d o ʊ n
domy	d o ʊ m i
don	d ɑ n
donaghadee	d ɔ n ə h ə d i
donald	d ɑ n ə l d
donate	d o ʊ n e ɪ t
donation	d o ʊ n e ɪ ʃ ə n
donations	d o ʊ n e ɪ ʃ ə n z
donative	d o ʊ n ə t ɪ v
donbas	d ɔ n b æ s
donger	d ɔ ŋ ə
donjon	d ɔ n d͡ʒ ə n
donnean	d ʌ n i ə n
donnie	d ɔ n i
donny	d ɔ n i
donor	d o ʊ n ɚ
donors	d o ʊ n ɚ z
