ააგო	ɑ ɑ ɡ ɔ
დაობლება	d ɑ ɔ b l ɛ b ɑ
დაპყრობა	d ɑ pʼ qʼ r ɔ b ɑ
დაჟე	d ɑ ʒ ɛ
დაჟინებით	d ɑ ʒ i n ɛ b i tʰ
დაჟინებული	d ɑ ʒ i n ɛ b u l i
დარაჯი	d ɑ r ɑ d͡ʒ i
დარგი	d ɑ r ɡ i
დარდი	d ɑ r d i
დარდუბალა	d ɑ r d u b ɑ l ɑ
დარიჩინი	d ɑ r i t͡ʃ i n i
დარქმევა	d ɑ r kʰ m ɛ v ɑ
დარჩება	d ɑ r t͡ʃ ɛ b ɑ
დარჩენილი	d ɑ r t͡ʃ ɛ n i l i
დარწმუნებული	d ɑ r t͡sʼ m u n ɛ b u l i
დასაბუთებული	d ɑ s ɑ b u tʰ ɛ b u l i
დასავლეთი	d ɑ s ɑ v l ɛ tʰ i
დასავლეთით	d ɑ s ɑ v l ɛ tʰ i tʰ
დასავლური	d ɑ s ɑ v l u r i
დასამშვიდებლად	d ɑ s ɑ m ʃ v i d ɛ b l ɑ d
დასასრული	d ɑ s ɑ s r u l i
დასასჯელი	d ɑ s ɑ s d͡ʒ ɛ l i
დასაფლავება	d ɑ s ɑ pʰ l ɑ v ɛ b ɑ
დასაშლელი	d ɑ s ɑ ʃ l ɛ l i
დასახელება	d ɑ s ɑ x ɛ l ɛ b ɑ
დასახლებული	d ɑ s ɑ x l ɛ b u l i
დასაჯერებელი	d ɑ s ɑ d͡ʒ ɛ r ɛ b ɛ l i
დასველებული	d ɑ s v ɛ l ɛ b u l i
დასვენება	d ɑ s v ɛ n ɛ b ɑ
დასკვნითი	d ɑ s kʼ v n i tʰ i
დასრულდება	d ɑ s r u l d ɛ b ɑ
დასტა	d ɑ s tʼ ɑ
დასტური	d ɑ s tʼ u r i
დასხმა	d ɑ s x m ɑ
დასჯა	d ɑ s d͡ʒ ɑ
დატბორილი	d ɑ tʼ b ɔ r i l i
დატვირთული	d ɑ tʼ v i r tʰ u l i
დაუახლოვდება	d ɑ u ɑ x l ɔ v d ɛ b ɑ
დაუბეგრავი	d ɑ u b ɛ ɡ r ɑ v i
დაუბრუნდება	d ɑ u b r u n d ɛ b ɑ
დაუგეგმავი	d ɑ u ɡ ɛ ɡ m ɑ v i
დაუდევარი	d ɑ u d ɛ v ɑ r i
დაუდევრად	d ɑ u d ɛ v r ɑ d
დაუდევრობა	d ɑ u d ɛ v r ɔ b ɑ
დაუვიწყარი	d ɑ u v i t͡sʼ qʼ ɑ r i
დაუზღვეველი	d ɑ u z ɣ v ɛ v ɛ l i
დაუთმობს	d ɑ u tʰ m ɔ b s
დაუმარცხებლად	d ɑ u m ɑ r t͡s x ɛ b l ɑ d
დაუნომრავი	d ɑ u n ɔ m r ɑ v i
დაუოკებელი	d ɑ u ɔ kʼ ɛ b ɛ l i
დაუსრულებელი	d ɑ u s r u l ɛ b ɛ l i
დაუსრულებლად	d ɑ u s r u l ɛ b l ɑ d
დაუსჯელად	d ɑ u s d͡ʒ ɛ l ɑ d
დაუსჯელი	d ɑ u s d͡ʒ ɛ l i
დაუსჯელობა	d ɑ u s d͡ʒ ɛ l ɔ b ɑ
დაუტოვებიათ	d ɑ u tʼ ɔ v ɛ b i ɑ tʰ
დაუფარავად	d ɑ u pʰ ɑ r ɑ v ɑ d
დაუფარავი	d ɑ u pʰ ɑ r ɑ v i
დაუფასებელი	d ɑ u pʰ ɑ s ɛ b ɛ l i
დაუფიქრებელი	d ɑ u pʰ i kʰ r ɛ b ɛ l i
დაუფიქრებლად	d ɑ u pʰ i kʰ r ɛ b l ɑ d
დაუფლება	d ɑ u pʰ l ɛ b ɑ
დაუქორწინებელი	d ɑ u kʰ ɔ r t͡sʼ i n ɛ b ɛ l i
დაუღალავი	d ɑ u ɣ ɑ l ɑ v i
დაუყოვნებლად	d ɑ u qʼ ɔ v n ɛ b l ɑ d
დაუშვებელი	d ɑ u ʃ v ɛ b ɛ l i
დაუძლეველი	d ɑ u d͡z l ɛ v ɛ l i
დაუძლურებული	d ɑ u d͡z l u r ɛ b u l i
დაუჯერებლად	d ɑ u d͡ʒ ɛ r ɛ b l ɑ d
დაუჯერებლობა	d ɑ u d͡ʒ ɛ r ɛ b l ɔ b ɑ
დაფარვა	d ɑ pʰ ɑ r v ɑ
დაფასოებული	d ɑ pʰ ɑ s ɔ ɛ b u l i
დაფიქრებული	d ɑ pʰ i kʰ r ɛ b u l i
დაფნა	d ɑ pʰ n ɑ
დაქვრივებული	d ɑ kʰ v r i v ɛ b u l i
დაქირავებული	d ɑ kʰ i r ɑ v ɛ b u l i
დაქსაქსულობა	d ɑ kʰ s ɑ kʰ s u l ɔ b ɑ
დაქტილური	d ɑ kʰ tʼ i l u r i
დაღეჭილი	d ɑ ɣ ɛ t͡ʃʼ i l i
დაღვრემილი	d ɑ ɣ v r ɛ m i l i
დაღლილი	d ɑ ɣ l i l i
დაღლილობა	d ɑ ɣ l i l ɔ b ɑ
დაშლა	d ɑ ʃ l ɑ
დაშორებით	d ɑ ʃ ɔ r ɛ b i tʰ
დაშორებული	d ɑ ʃ ɔ r ɛ b u l i
დაცდილი	d ɑ t͡s d i l i
დაცვა	d ɑ t͡s v ɑ
დაცვამ	d ɑ t͡s v ɑ m
დაცვას	d ɑ t͡s v ɑ s
დაცვის	d ɑ t͡s v i s
დაცინვით	d ɑ t͡s i n v i tʰ
დაცული	d ɑ t͡s u l i
დაცულობა	d ɑ t͡s u l ɔ b ɑ
დაძაბულად	d ɑ d͡z ɑ b u l ɑ d
დაძაბული	d ɑ d͡z ɑ b u l i
დაძაბულობა	d ɑ d͡z ɑ b u l ɔ b ɑ
დაძინება	d ɑ d͡z i n ɛ b ɑ
დაწერილი	d ɑ t͡sʼ ɛ r i l i
დაწერს	d ɑ t͡sʼ ɛ r s
დაწესებულება	d ɑ t͡sʼ ɛ s ɛ b u l ɛ b ɑ
დაწვა	d ɑ t͡sʼ v ɑ
დაწინდული	d ɑ t͡sʼ i n d u l i
დაწყებითი	d ɑ t͡sʼ qʼ ɛ b i tʰ i
დაწყევლილი	d ɑ t͡sʼ qʼ ɛ v l i l i
დაჭერა	d ɑ t͡ʃʼ ɛ r ɑ
დაჭერობანა	d ɑ t͡ʃʼ ɛ r ɔ b ɑ n ɑ
დაჭიმული	d ɑ t͡ʃʼ i m u l i
დაჭყლეტილი	d ɑ t͡ʃʼ qʼ l ɛ tʼ i l i
დახვეული	d ɑ x v ɛ u l i
დახვეწილად	d ɑ x v ɛ t͡sʼ i l ɑ d
დახვეწილი	d ɑ x v ɛ t͡sʼ i l i
დახმარება	d ɑ x m ɑ r ɛ b ɑ
დახმარებამ	d ɑ x m ɑ r ɛ b ɑ m
დახმარებას	d ɑ x m ɑ r ɛ b ɑ s
დახმარებით	d ɑ x m ɑ r ɛ b i tʰ
დახურული	d ɑ x u r u l i
დახუჭობანა	d ɑ x u t͡ʃʼ ɔ b ɑ n ɑ
დაჯერებული	d ɑ d͡ʒ ɛ r ɛ b u l i
დგუში	d ɡ u ʃ i
დე	d ɛ
დეა	d ɛ ɑ
დება	d ɛ b ɑ
დები	d ɛ b i
დებილი	d ɛ b i l i
დებიუტანტი	d ɛ b i u tʼ ɑ n tʼ i
დებიუტი	d ɛ b i u tʼ i
დეგენერატი	d ɛ ɡ ɛ n ɛ r ɑ tʼ i
დედა	d ɛ d ɑ
დედამ	d ɛ d ɑ m
დედამთილი	d ɛ d ɑ m tʰ i l i
დედამიწა	d ɛ d ɑ m i t͡sʼ ɑ
დედამიწად	d ɛ d ɑ m i t͡sʼ ɑ d
დედამიწამ	d ɛ d ɑ m i t͡sʼ ɑ m
დედამიწას	d ɛ d ɑ m i t͡sʼ ɑ s
დედამიწის	d ɛ d ɑ m i t͡sʼ i s
დედაქალაქი	d ɛ d ɑ kʰ ɑ l ɑ kʰ i
დედინაცვალი	d ɛ d i n ɑ t͡s v ɑ l i
დედობა	d ɛ d ɔ b ɑ
დევალვაცია	d ɛ v ɑ l v ɑ t͡s i ɑ
დევი	d ɛ v i
დევიზი	d ɛ v i z i
დევნება	d ɛ v n ɛ b ɑ
დევს	d ɛ v s
დეზინფექცია	d ɛ z i n pʰ ɛ kʰ t͡s i ɑ
დეზურა	d ɛ z u r ɑ
დეიდა	d ɛ i d ɑ
დეკადენტი	d ɛ kʼ ɑ d ɛ n tʼ i
დეკანი	d ɛ kʼ ɑ n i
დეკორატიული	d ɛ kʼ ɔ r ɑ tʼ i u l i
დეკორაცია	d ɛ kʼ ɔ r ɑ t͡s i ɑ
დეკრეტი	d ɛ kʼ r ɛ tʼ i
დელეგატი	d ɛ l ɛ ɡ ɑ tʼ i
დელეგაცია	d ɛ l ɛ ɡ ɑ t͡s i ɑ
დელფინი	d ɛ l pʰ i n i
დემაგოგი	d ɛ m ɑ ɡ ɔ ɡ i
დემაგოგია	d ɛ m ɑ ɡ ɔ ɡ i ɑ
დემაგოგიური	d ɛ m ɑ ɡ ɔ ɡ i u r i
დემარკაცია	d ɛ m ɑ r kʼ ɑ t͡s i ɑ
დემეტრე	d ɛ m ɛ tʼ r ɛ
დემოგრაფია	d ɛ m ɔ ɡ r ɑ pʰ i ɑ
დემოგრაფიული	d ɛ m ɔ ɡ r ɑ pʰ i u l i
დემოკრატი	d ɛ m ɔ kʼ r ɑ tʼ i
დემოკრატიულად	d ɛ m ɔ kʼ r ɑ tʼ i u l ɑ d
დემოკრატიული	d ɛ m ɔ kʼ r ɑ tʼ i u l i
დემონი	d ɛ m ɔ n i
დემონსტრაცია	d ɛ m ɔ n s tʼ r ɑ t͡s i ɑ
დემონტაჟი	d ɛ m ɔ n tʼ ɑ ʒ i
დენთი	d ɛ n tʰ i
დეპეშა	d ɛ pʼ ɛ ʃ ɑ
დეპოზიტი	d ɛ pʼ ɔ z i tʼ i
დეპორტაცია	d ɛ pʼ ɔ r tʼ ɑ t͡s i ɑ
დეპრესია	d ɛ pʼ r ɛ s i ɑ
დერბი	d ɛ r b i
დერეფანი	d ɛ r ɛ pʰ ɑ n i
დესერტი	d ɛ s ɛ r tʼ i
დესპანი	d ɛ s pʼ ɑ n i
დესპოტიზმი	d ɛ s pʼ ɔ tʼ i z m i
დეტალი	d ɛ tʼ ɑ l i
დეტალურად	d ɛ tʼ ɑ l u r ɑ d
დეტალური	d ɛ tʼ ɑ l u r i
დეტექტივი	d ɛ tʼ ɛ kʰ tʼ i v i
დეფექტი	d ɛ pʰ ɛ kʰ tʼ i
დეფიციტი	d ɛ pʰ i t͡s i tʼ i
დეფლაცია	d ɛ pʰ l ɑ t͡s i ɑ
დეფლაციური	d ɛ pʰ l ɑ t͡s i u r i
დვალიშვილი	d v ɑ l i ʃ v i l i
დიაბეტური	d i ɑ b ɛ tʼ u r i
დიაგნოზი	d i ɑ ɡ n ɔ z i
დიაგონალი	d i ɑ ɡ ɔ n ɑ l i
დიაგონალური	d i ɑ ɡ ɔ n ɑ l u r i
დიაგრამა	d i ɑ ɡ r ɑ m ɑ
დიადი	d i ɑ d i
დიალოგი	d i ɑ l ɔ ɡ i
დიანა	d i ɑ n ɑ
დიაპაზონი	d i ɑ pʼ ɑ z ɔ n i
დიარეა	d i ɑ r ɛ ɑ
დიასახლისი	d i ɑ s ɑ x l i s i
დიასპორა	d i ɑ s pʼ ɔ r ɑ
დიახ	d i ɑ x
დიდაქტიკური	d i d ɑ kʰ tʼ i kʼ u r i
დიდებულად	d i d ɛ b u l ɑ d
დიდებულები	d i d ɛ b u l ɛ b i
დიდებული	d i d ɛ b u l i
დიდებულიძე	d i d ɛ b u l i d͡z ɛ
დიდი	d i d i
დიდმოწამე	d i d m ɔ t͡sʼ ɑ m ɛ
დიდსულოვანი	d i d s u l ɔ v ɑ n i
დიდსულოვნება	d i d s u l ɔ v n ɛ b ɑ
დიდძალი	d i d d͡z ɑ l i
დიდხანს	d i d x ɑ n s
დიეზი	d i ɛ z i
დიეტა	d i ɛ tʼ ɑ
დიეტური	d i ɛ tʼ u r i
დივერსანტი	d i v ɛ r s ɑ n tʼ i
დივიდენდი	d i v i d ɛ n d i
დიზაინი	d i z ɑ i n i
დიზელი	d i z ɛ l i
დიზენტერია	d i z ɛ n tʼ ɛ r i ɑ
დიკი	d i kʼ i
დილა	d i l ɑ
დილემა	d i l ɛ m ɑ
დილეტანტური	d i l ɛ tʼ ɑ n tʼ u r i
დილით	d i l i tʰ
დიმიტრი	d i m i tʼ r i
დინამიზმი	d i n ɑ m i z m i
დინამიკა	d i n ɑ m i kʼ ɑ
დინამიკურად	d i n ɑ m i kʼ u r ɑ d
დინამიკური	d i n ɑ m i kʼ u r i
დინარი	d i n ɑ r i
დინასტია	d i n ɑ s tʼ i ɑ
დინასტიური	d i n ɑ s tʼ i u r i
დინება	d i n ɛ b ɑ
დინი	d i n i
დინოზავრი	d i n ɔ z ɑ v r i
დინჯად	d i n d͡ʒ ɑ d
დინჯი	d i n d͡ʒ i
დიპლომატი	d i pʼ l ɔ m ɑ tʼ i
დიპლომატია	d i pʼ l ɔ m ɑ tʼ i ɑ
დიპლომატიურად	d i pʼ l ɔ m ɑ tʼ i u r ɑ d
დიპლომატიური	d i pʼ l ɔ m ɑ tʼ i u r i
დიპლომი	d i pʼ l ɔ m i
დირექტორატი	d i r ɛ kʰ tʼ ɔ r ɑ tʼ i
დირექტორი	d i r ɛ kʰ tʼ ɔ r i
დირექტორობა	d i r ɛ kʰ tʼ ɔ r ɔ b ɑ
დირიჟაბლი	d i r i ʒ ɑ b l i
დისერტაცია	d i s ɛ r tʼ ɑ t͡s i ɑ
დისკი	d i s kʼ i
დისკომფორტი	d i s kʼ ɔ m pʰ ɔ r tʼ i
დისკრეტული	d i s kʼ r ɛ tʼ u l i
დისკუსია	d i s kʼ u s i ɑ
დისონანსი	d i s ɔ n ɑ n s i
დისშვილი	d i s ʃ v i l i
დისციპლინა	d i s t͡s i pʼ l i n ɑ
დისწული	d i s t͡sʼ u l i
დიუსელდორფი	d i u s ɛ l d ɔ r pʰ i
დიფერენციალი	d i pʰ ɛ r ɛ n t͡s i ɑ l i
დიქტატორი	d i kʰ tʼ ɑ tʼ ɔ r i
დიქტატორული	d i kʰ tʼ ɑ tʼ ɔ r u l i
დიქტატურა	d i kʰ tʼ ɑ tʼ u r ɑ
დიქტორი	d i kʰ tʼ ɔ r i
დნობა	d n ɔ b ɑ
დოგმა	d ɔ ɡ m ɑ
დოზა	d ɔ z ɑ
დოკუმენტაცია	d ɔ kʼ u m ɛ n tʼ ɑ t͡s i ɑ
დოკუმენტი	d ɔ kʼ u m ɛ n tʼ i
დოკუმენტური	d ɔ kʼ u m ɛ n tʼ u r i
დოლარი	d ɔ l ɑ r i
დოლი	d ɔ l i
დომინო	d ɔ m i n ɔ
დონალდი	d ɔ n ɑ l d i
დონე	d ɔ n ɛ
დონეს	d ɔ n ɛ s
დონეცკი	d ɔ n ɛ t͡s kʼ i
დონით	d ɔ n i tʰ
დონის	d ɔ n i s
დონორი	d ɔ n ɔ r i
დორა	d ɔ r ɑ
დორტმუნდი	d ɔ r tʼ m u n d i
დოსიე	d ɔ s i ɛ
დოქი	d ɔ kʰ i
დოქტრინა	d ɔ kʰ tʼ r i n ɑ
დოღი	d ɔ ɣ i
დოყლაპია	d ɔ qʼ l ɑ pʼ i ɑ
დრაკონი	d r ɑ kʼ ɔ n i
დრამა	d r ɑ m ɑ
დრამატულად	d r ɑ m ɑ tʼ u l ɑ d
დრამატული	d r ɑ m ɑ tʼ u l i
დრამატურგი	d r ɑ m ɑ tʼ u r ɡ i
დრაქმა	d r ɑ kʰ m ɑ
დრეზდენი	d r ɛ z d ɛ n i
დრეკადი	d r ɛ kʼ ɑ d i
დრო	d r ɔ
დროგამოშვებით	d r ɔ ɡ ɑ m ɔ ʃ v ɛ b i tʰ
დროდ	d r ɔ d
დროდადრო	d r ɔ d ɑ d r ɔ
დროებით	d r ɔ ɛ b i tʰ
დროებითი	d r ɔ ɛ b i tʰ i
დროზე	d r ɔ z ɛ
დროის	d r ɔ i s
დრომოჭმული	d r ɔ m ɔ t͡ʃʼ m u l i
დროს	d r ɔ s
დროსტარება	d r ɔ s tʼ ɑ r ɛ b ɑ
დროულად	d r ɔ u l ɑ d
დროული	d r ɔ u l i
დროშა	d r ɔ ʃ ɑ
დუბლინი	d u b l i n i
დუელი	d u ɛ l i
დუეტი	d u ɛ tʼ i
დუმილი	d u m i l i
დუნედ	d u n ɛ d
დურგალი	d u r ɡ ɑ l i
დუღილი	d u ɣ i l i
დღგ	d ɣ ɡ
დღეები	d ɣ ɛ ɛ b i
დღევანდელი	d ɣ ɛ v ɑ n d ɛ l i
დღემ	d ɣ ɛ m
დღემდე	d ɣ ɛ m d ɛ
დღეს	d ɣ ɛ s
დღესასწაული	d ɣ ɛ s ɑ s t͡sʼ ɑ u l i
ებრაული	ɛ b r ɑ u l i
ეგ	ɛ ɡ
ეგეთი	ɛ ɡ ɛ tʰ i
ეგენი	ɛ ɡ ɛ n i
ეგვიპტე	ɛ ɡ v i pʼ tʼ ɛ
ეგზემა	ɛ ɡ z ɛ m ɑ
ეგზოტიკური	ɛ ɡ z ɔ tʼ i kʼ u r i
ეგიდა	ɛ ɡ i d ɑ
ეგოისტურად	ɛ ɡ ɔ i s tʼ u r ɑ d
ეგოისტური	ɛ ɡ ɔ i s tʼ u r i
ეგოტიზმი	ɛ ɡ ɔ tʼ i z m i
ეგრე	ɛ ɡ r ɛ
ეგრევე	ɛ ɡ r ɛ v ɛ
ედგარი	ɛ d ɡ ɑ r i
ევა	ɛ v ɑ
ევაკუაცია	ɛ v ɑ kʼ u ɑ t͡s i ɑ
ევგენი	ɛ v ɡ ɛ n i
ევერესტი	ɛ v ɛ r ɛ s tʼ i
ევოლუცია	ɛ v ɔ l u t͡s i ɑ
ევოლუციური	ɛ v ɔ l u t͡s i u r i
ევრაზია	ɛ v r ɑ z i ɑ
ევრო	ɛ v r ɔ
ევროპა	ɛ v r ɔ pʼ ɑ
ევროპამ	ɛ v r ɔ pʼ ɑ m
ევროპას	ɛ v r ɔ pʼ ɑ s
ევროპის	ɛ v r ɔ pʼ i s
ევროპული	ɛ v r ɔ pʼ u l i
ეზო	ɛ z ɔ
ეთერი	ɛ tʰ ɛ r i
ეთიკა	ɛ tʰ i kʼ ɑ
ეთიკურად	ɛ tʰ i kʼ u r ɑ d
ეთიკური	ɛ tʰ i kʼ u r i
ეთიოპიელი	ɛ tʰ i ɔ pʼ i ɛ l i
ეთნიკურად	ɛ tʰ n i kʼ u r ɑ d
ეთნიკური	ɛ tʰ n i kʼ u r i
ეთნოგრაფიული	ɛ tʰ n ɔ ɡ r ɑ pʰ i u l i
ეკალი	ɛ kʼ ɑ l i
ეკატერინე	ɛ kʼ ɑ tʼ ɛ r i n ɛ
ეკვადორი	ɛ kʼ v ɑ d ɔ r i
ეკვატორი	ɛ kʼ v ɑ tʼ ɔ r i
ეკვივალენტი	ɛ kʼ v i v ɑ l ɛ n tʼ i
ეკიპაჟი	ɛ kʼ i pʼ ɑ ʒ i
ეკლესია	ɛ kʼ l ɛ s i ɑ
ეკლესიამ	ɛ kʼ l ɛ s i ɑ m
ეკლესიას	ɛ kʼ l ɛ s i ɑ s
ეკლესიის	ɛ kʼ l ɛ s i i s
ეკოლოგი	ɛ kʼ ɔ l ɔ ɡ i
ეკოლოგია	ɛ kʼ ɔ l ɔ ɡ i ɑ
ეკოლოგიურად	ɛ kʼ ɔ l ɔ ɡ i u r ɑ d
ეკოლოგიური	ɛ kʼ ɔ l ɔ ɡ i u r i
ეკონომია	ɛ kʼ ɔ n ɔ m i ɑ
ეკონომიკა	ɛ kʼ ɔ n ɔ m i kʼ ɑ
ეკონომიკად	ɛ kʼ ɔ n ɔ m i kʼ ɑ d
ეკონომიკამ	ɛ kʼ ɔ n ɔ m i kʼ ɑ m
ეკონომიკას	ɛ kʼ ɔ n ɔ m i kʼ ɑ s
ეკონომიკით	ɛ kʼ ɔ n ɔ m i kʼ i tʰ
ეკონომიკის	ɛ kʼ ɔ n ɔ m i kʼ i s
ეკონომიურად	ɛ kʼ ɔ n ɔ m i u r ɑ d
ეკონომიური	ɛ kʼ ɔ n ɔ m i u r i
ელასტიკური	ɛ l ɑ s tʼ i kʼ u r i
ელასტიური	ɛ l ɑ s tʼ i u r i
ელეგანტურად	ɛ l ɛ ɡ ɑ n tʼ u r ɑ d
ელეგიური	ɛ l ɛ ɡ i u r i
ელემენტარულად	ɛ l ɛ m ɛ n tʼ ɑ r u l ɑ d
ელემენტი	ɛ l ɛ m ɛ n tʼ i
ელექტორატი	ɛ l ɛ kʰ tʼ ɔ r ɑ tʼ i
ელექტროდი	ɛ l ɛ kʰ tʼ r ɔ d i
ელექტრონი	ɛ l ɛ kʰ tʼ r ɔ n i
ელექტრონული	ɛ l ɛ kʰ tʼ r ɔ n u l i
ელვა	ɛ l v ɑ
ელვარე	ɛ l v ɑ r ɛ
ელსმენი	ɛ l s m ɛ n i
ელჩი	ɛ l t͡ʃ i
ემა	ɛ m ɑ
ემბლემა	ɛ m b l ɛ m ɑ
ემიგრანტი	ɛ m i ɡ r ɑ n tʼ i
ემიგრაცია	ɛ m i ɡ r ɑ t͡s i ɑ
ემილი	ɛ m i l i
ემირი	ɛ m i r i
ემოციური	ɛ m ɔ t͡s i u r i
ემუქრები	ɛ m u kʰ r ɛ b i
ენა	ɛ n ɑ
ენანება	ɛ n ɑ n ɛ b ɑ
ენგური	ɛ n ɡ u r i
ენდემური	ɛ n d ɛ m u r i
ენდობა	ɛ n d ɔ b ɑ
ენერგია	ɛ n ɛ r ɡ i ɑ
ენერგიულად	ɛ n ɛ r ɡ i u l ɑ d
ენერგიული	ɛ n ɛ r ɡ i u l i
ენთუზიაზმი	ɛ n tʰ u z i ɑ z m i
ენთუზიაზმით	ɛ n tʰ u z i ɑ z m i tʰ
ენთუზიასტი	ɛ n tʰ u z i ɑ s tʼ i
ეპარება	ɛ pʼ ɑ r ɛ b ɑ
ეპარქია	ɛ pʼ ɑ r kʰ i ɑ
ეპიდემია	ɛ pʼ i d ɛ m i ɑ
ეპიდერმისი	ɛ pʼ i d ɛ r m i s i
ეპიზოდი	ɛ pʼ i z ɔ d i
ეპიზოდური	ɛ pʼ i z ɔ d u r i
ეპითეტი	ɛ pʼ i tʰ ɛ tʼ i
ეპილეფსია	ɛ pʼ i l ɛ pʰ s i ɑ
ეპისკოპოსი	ɛ pʼ i s kʼ ɔ pʼ ɔ s i
ეპისტოლარული	ɛ pʼ i s tʼ ɔ l ɑ r u l i
ეპისტოლე	ɛ pʼ i s tʼ ɔ l ɛ
ეპიცენტრი	ɛ pʼ i t͡s ɛ n tʼ r i
ეპოქა	ɛ pʼ ɔ kʰ ɑ
ეპოქალური	ɛ pʼ ɔ kʰ ɑ l u r i
ერაყი	ɛ r ɑ qʼ i
ერევანი	ɛ r ɛ v ɑ n i
ერთადერთი	ɛ r tʰ ɑ d ɛ r tʰ i
ერთბაშად	ɛ r tʰ b ɑ ʃ ɑ d
ერთგვაროვანი	ɛ r tʰ ɡ v ɑ r ɔ v ɑ n i
ერთგულება	ɛ r tʰ ɡ u l ɛ b ɑ
ერთდროული	ɛ r tʰ d r ɔ u l i
ერთერთი	ɛ r tʰ ɛ r tʰ i
ერთთავად	ɛ r tʰ tʰ ɑ v ɑ d
ერთი	ɛ r tʰ i
ერთიანი	ɛ r tʰ i ɑ n i
ერთიანობა	ɛ r tʰ i ɑ n ɔ b ɑ
ერთმანეთი	ɛ r tʰ m ɑ n ɛ tʰ i
ერთნაირობა	ɛ r tʰ n ɑ i r ɔ b ɑ
ერთობა	ɛ r tʰ ɔ b ɑ
ერთობლივად	ɛ r tʰ ɔ b l i v ɑ d
ერთობლივი	ɛ r tʰ ɔ b l i v i
ერთობლიობა	ɛ r tʰ ɔ b l i ɔ b ɑ
ერთსულოვნად	ɛ r tʰ s u l ɔ v n ɑ d
ერთსულოვნება	ɛ r tʰ s u l ɔ v n ɛ b ɑ
ერთსქესიანი	ɛ r tʰ s kʰ ɛ s i ɑ n i
ერთფეროვნად	ɛ r tʰ pʰ ɛ r ɔ v n ɑ d
ერთფეროვნება	ɛ r tʰ pʰ ɛ r ɔ v n ɛ b ɑ
ერთხელ	ɛ r tʰ x ɛ l
ერთხელაც	ɛ r tʰ x ɛ l ɑ t͡s
ერი	ɛ r i
ერიკა	ɛ r i kʼ ɑ
ერიკი	ɛ r i kʼ i
ერისთავი	ɛ r i s tʰ ɑ v i
ერმა	ɛ r m ɑ
ერნესტი	ɛ r n ɛ s tʼ i
ეროვნული	ɛ r ɔ v n u l i
ეროზია	ɛ r ɔ z i ɑ
ეროზიული	ɛ r ɔ z i u l i
ერუდირებულად	ɛ r u d i r ɛ b u l ɑ d
ერუდიცია	ɛ r u d i t͡s i ɑ
ეს	ɛ s
ესე	ɛ s ɛ
ესეთი	ɛ s ɛ tʰ i
ესეისტი	ɛ s ɛ i s tʼ i
ესენი	ɛ s ɛ n i
ესთეტი	ɛ s tʰ ɛ tʼ i
ესთეტიკა	ɛ s tʰ ɛ tʼ i kʼ ɑ
ესთეტიკური	ɛ s tʰ ɛ tʼ i kʼ u r i
ესკალაცია	ɛ s kʼ ɑ l ɑ t͡s i ɑ
ესკიზური	ɛ s kʼ i z u r i
ესკორტი	ɛ s kʼ ɔ r tʼ i
ესპანეთი	ɛ s pʼ ɑ n ɛ tʰ i
ესპანეთის	ɛ s pʼ ɑ n ɛ tʰ i s
ესპანეთმა	ɛ s pʼ ɑ n ɛ tʰ m ɑ
ესპანური	ɛ s pʼ ɑ n u r i
