abba	ɒ bː ɒ
is	i ʃ
iskolai	i ʃ k o l ɒ j i
ismer	i ʃ m ɛ r
ismered	i ʃ m ɛ r ɛ d
ismerek	i ʃ m ɛ r ɛ k
ismeretek	i ʃ m ɛ r ɛ t ɛ k
ismereteket	i ʃ m ɛ r ɛ t ɛ k ɛ t
ismeretes	i ʃ m ɛ r ɛ t ɛ ʃ
ismeretet	i ʃ m ɛ r ɛ t ɛ t
ismeretlen	i ʃ m ɛ r ɛ t l ɛ n
ismeretlenek	i ʃ m ɛ r ɛ t l ɛ n ɛ k
ismeri	i ʃ m ɛ r i
ismerik	i ʃ m ɛ r i k
ismerni	i ʃ m ɛ r n i
ismert	i ʃ m ɛ r t
ismerte	i ʃ m ɛ r t ɛ
ismertebb	i ʃ m ɛ r t ɛ bː
ismertek	i ʃ m ɛ r t ɛ k
ismertető	i ʃ m ɛ r t ɛ t øː
ismertté	i ʃ m ɛ r t eː
ismerték	i ʃ m ɛ r t eː k
ismerőse	i ʃ m ɛ r øː ʃ ɛ
ismerősök	i ʃ m ɛ r øː ʃ ø k
iso	i z oː
ispán	i ʃ p aː n
isteni	i ʃ t ɛ n i
istván	i ʃ t v aː n
iszonyú	i s o ɲ uː
isztambul	i s t ɒ m b u l
iszunk	i s u ŋ k
italt	i t ɒ l t
itt	i tː
itthon	i t h o n
itthoni	i t h o n i
itália	i t aː l i j ɒ
izgalmas	i z ɡ ɒ l m ɒ ʃ
izland	i z l ɒ n d
izlandi	i z l ɒ n d i
izmai	i z m ɒ j i
izmot	i z m o t
izrael	i z r ɒ ɛ l
izraeli	i z r ɒ ɛ l i
izraelita	i z r ɒ ɛ l i t ɒ
izzok	i zː o k
izzó	i zː oː
jaj	j ɒ j
jakab	j ɒ k ɒ b
jakobinus	j ɒ k o b i n u ʃ
január	j ɒ n u aː r
januártól	j ɒ n u aː r t oː l
japán	j ɒ p aː n
japánban	j ɒ p aː m b ɒ n
javaslat	j ɒ v ɒ ʃ l ɒ t
javaslatok	j ɒ v ɒ ʃ l ɒ t o k
javaslatot	j ɒ v ɒ ʃ l ɒ t o t
javaslatára	j ɒ v ɒ ʃ l ɒ t aː r ɒ
javasolja	j ɒ v ɒ ʃ o jː ɒ
javasolt	j ɒ v ɒ ʃ o l t
javasolta	j ɒ v ɒ ʃ o l t ɒ
javából	j ɒ v aː b oː l
javítani	j ɒ v iː t ɒ n i
javítása	j ɒ v iː t aː ʃ ɒ
javítására	j ɒ v iː t aː ʃ aː r ɒ
jegy	j ɛ ɟ
jegybank	j ɛ ɟ b ɒ ŋ k
jegyek	j ɛ ɟ ɛ k
jegyzet	j ɛ ɟ z ɛ t
jegyzetek	j ɛ ɟ z ɛ t ɛ k
jegyzékek	j ɛ ɟ z eː k ɛ k
jegyzőkönyvek	j ɛ ɟ z øː k ø ɲ v ɛ k
jegyzőkönyvet	j ɛ ɟ z øː k ø ɲ v ɛ t
jel	j ɛ l
jelei	j ɛ l ɛ j i
jelen	j ɛ l ɛ n
jelenet	j ɛ l ɛ n ɛ t
jelenettel	j ɛ l ɛ n ɛ tː ɛ l
jelenik	j ɛ l ɛ n i k
jelenlegi	j ɛ l ɛ n l ɛ ɡ i
jelenlévő	j ɛ l ɛ n l eː v øː
jelenlévők	j ɛ l ɛ n l eː v øː k
jelenség	j ɛ l ɛ n ʃ eː ɡ
jelenségek	j ɛ l ɛ n ʃ eː ɡ ɛ k
jelenségeket	j ɛ l ɛ n ʃ eː ɡ ɛ k ɛ t
jelentette	j ɛ l ɛ n t ɛ tː ɛ
jelentkezni	j ɛ l ɛ n t k ɛ z n i
jelentkeztek	j ɛ l ɛ n t k ɛ s t ɛ k
jelentkezések	j ɛ l ɛ n t k ɛ z eː ʃ ɛ k
jelentés	j ɛ l ɛ n t eː ʃ
jelentések	j ɛ l ɛ n t eː ʃ ɛ k
jelentést	j ɛ l ɛ n t eː ʃ t
jelentősebb	j ɛ l ɛ n t øː ʃ ɛ bː
jelentősen	j ɛ l ɛ n t øː ʃ ɛ n
jelkép	j ɛ l k eː p
jellegzetes	j ɛ lː ɛ ɡ z ɛ t ɛ ʃ
jellegű	j ɛ lː ɛ ɡ yː
jellemző	j ɛ lː ɛ m z øː
jellemzően	j ɛ lː ɛ m z øː ɛ n
jellemzője	j ɛ lː ɛ m z øː j ɛ
jellemzők	j ɛ lː ɛ m z øː k
jelszó	j ɛ l s oː
jelző	j ɛ l z øː
jelölt	j ɛ l ø l t
jelöltek	j ɛ l ø l t ɛ k
jelölték	j ɛ l ø l t eː k
jenő	j ɛ n øː
jobb	j o bː
jobbak	j o bː ɒ k
jobban	j o bː ɒ n
jobboldal	j o bː o l d ɒ l
jobboldali	j o bː o l d ɒ l i
jobbra	j o b r ɒ
jobbágy	j o bː aː ɟ
jobbára	j o bː aː r ɒ
jog	j o ɡ
joga	j o ɡ ɒ
jogai	j o ɡ ɒ j i
joggal	j o ɡː ɒ l
jogok	j o ɡ o k
jogos	j o ɡ o ʃ
jogosult	j o ɡ o ʃ u l t
jogosultak	j o ɡ o ʃ u l t ɒ k
jogot	j o ɡ o t
jogszabály	j o k s ɒ b aː j
jogszabályi	j o k s ɒ b aː j i
jogszabályok	j o k s ɒ b aː j o k
jogszabályokat	j o k s ɒ b aː j o k ɒ t
jogsértések	j o k ʃ eː r t eː ʃ ɛ k
jogtalan	j o k t ɒ l ɒ n
jogtalanul	j o k t ɒ l ɒ n u l
jogász	j o ɡ aː s
jogászok	j o ɡ aː s o k
jogát	j o ɡ aː t
jogú	j o ɡ uː
jordán	j o r d aː n
jubileumi	j u b i l ɛ u m i
judit	j u d i t
jugoszláv	j u ɡ o s l aː v
juhász	j u ɦ aː s
juliska	j u l i ʃ k ɒ
junior	j u n i j o r
jupiter	j u p i t ɛ r
jussanak	j u ʃː ɒ n ɒ k
jusson	j u ʃː o n
jut	j u t
juthat	j u t h ɒ t
jutna	j u t n ɒ
jutnak	j u t n ɒ k
jutni	j u t n i
jutott	j u t o tː
jutottak	j u t o tː ɒ k
jutottam	j u t o tː ɒ m
jutottunk	j u t o tː u ŋ k
juttatás	j u tː ɒ t aː ʃ
jutunk	j u t u ŋ k
jános	j aː n o ʃ
járat	j aː r ɒ t
járnak	j aː r n ɒ k
járni	j aː r n i
járok	j aː r o k
járt	j aː r t
jártak	j aː r t ɒ k
jártunk	j aː r t u ŋ k
járták	j aː r t aː k
járul	j aː r u l
járunk	j aː r u ŋ k
járvány	j aː r v aː ɲ
járványok	j aː r v aː ɲ o k
járó	j aː r oː
játszanak	j aː t͡sː ɒ n ɒ k
játszani	j aː t͡sː ɒ n i
játszom	j aː t͡sː o m
játszottak	j aː t͡sː o tː ɒ k
játszottunk	j aː t͡sː o tː u ŋ k
játszódik	j aː t͡sː oː d i k
játszótér	j aː t͡sː oː t eː r
játék	j aː t eː k
játéka	j aː t eː k ɒ
játékban	j aː t eː ɡ b ɒ n
játékhoz	j aː t eː k h o z
játékkal	j aː t eː kː ɒ l
játékok	j aː t eː k o k
játékokat	j aː t eː k o k ɒ t
játékos	j aː t eː k o ʃ
játékosok	j aː t eː k o ʃ o k
játékot	j aː t eː k o t
jéghideg	j eː k h i d ɛ ɡ
jézus	j eː z u ʃ
jó	j oː
jócskán	j oː t͡ʃ k aː n
jógi	j oː ɡ i
jóindulatú	j oː j i n d u l ɒ t uː
jók	j oː k
jókai	j oː k ɒ j i
jókat	j oː k ɒ t
jókra	j oː k r ɒ
jóképű	j oː k eː p yː
jól	j oː l
jóllehet	j oː lː ɛ h ɛ t
jólét	j oː l eː t
jónéhány	j oː n eː ɦ aː ɲ
jóska	j oː ʃ k ɒ
jósol	j oː ʃ o l
jót	j oː t
jótékony	j oː t eː k o ɲ
jótékonysági	j oː t eː k o ɲ ʃ aː ɡ i
jóval	j oː v ɒ l
jóvá	j oː v aː
jóváhagyott	j oː v aː ɦ ɒ ɟ o tː
józsef	j oː ʒ ɛ f
józsi	j oː ʒ i
jöhet	j ø ɦ ɛ t
jöjjenek	j ø jː ɛ n ɛ k
jöjjön	j ø jː ø n
jön	j ø n
jönnek	j ø nː ɛ k
jönni	j ø nː i
jött	j ø tː
jöttek	j ø tː ɛ k
jövedelem	j ø v ɛ d ɛ l ɛ m
jövedelemadó	j ø v ɛ d ɛ l ɛ m ɒ d oː
jövedelme	j ø v ɛ d ɛ l m ɛ
jövedelmező	j ø v ɛ d ɛ l m ɛ z øː
jövedelmi	j ø v ɛ d ɛ l m i
jövendőbeli	j ø v ɛ n d øː b ɛ l i
jövő	j ø v øː
jövőbe	j ø v øː b ɛ
jövőbeli	j ø v øː b ɛ l i
jövőben	j ø v øː b ɛ n
jövőbeni	j ø v øː b ɛ n i
jövője	j ø v øː j ɛ
jövőjét	j ø v øː j eː t
jövőre	j ø v øː r ɛ
július	j uː l i j u ʃ
június	j uː n i j u ʃ
júniusban	j uː n i j u ʒ b ɒ n
júniusában	j uː n i j u ʃ aː b ɒ n
kabinet	k ɒ b i n ɛ t
kacag	k ɒ t͡s ɒ ɡ
kacsát	k ɒ t͡ʃ aː t
kaja	k ɒ j ɒ
kalamajka	k ɒ l ɒ m ɒ j k ɒ
kalandok	k ɒ l ɒ n d o k
kalandor	k ɒ l ɒ n d o r
kalapácsvetés	k ɒ l ɒ p aː t͡ʃ v ɛ t eː ʃ
kaliforniában	k ɒ l i f o r n i j aː b ɒ n
kamaszként	k ɒ m ɒ s k eː n t
kamion	k ɒ m i j o n
kampány	k ɒ m p aː ɲ
kanadai	k ɒ n ɒ d ɒ j i
kandalló	k ɒ n d ɒ lː oː
kandúr	k ɒ n d uː r
kankalin	k ɒ ŋ k ɒ l i n
kap	k ɒ p
kapacitás	k ɒ p ɒ t͡s i t aː ʃ
kapcsolat	k ɒ p t͡ʃ o l ɒ t
kapcsolata	k ɒ p t͡ʃ o l ɒ t ɒ
kapcsolatai	k ɒ p t͡ʃ o l ɒ t ɒ j i
kapcsolatba	k ɒ p t͡ʃ o l ɒ d b ɒ
kapcsolatban	k ɒ p t͡ʃ o l ɒ d b ɒ n
kapcsolatok	k ɒ p t͡ʃ o l ɒ t o k
kapcsolatokat	k ɒ p t͡ʃ o l ɒ t o k ɒ t
kapcsolatokban	k ɒ p t͡ʃ o l ɒ t o ɡ b ɒ n
kapcsolatos	k ɒ p t͡ʃ o l ɒ t o ʃ
kapcsolatot	k ɒ p t͡ʃ o l ɒ t o t
kapcsolattartás	k ɒ p t͡ʃ o l ɒ tː ɒ r t aː ʃ
kapcsolatát	k ɒ p t͡ʃ o l ɒ t aː t
kapcsolható	k ɒ p t͡ʃ o l ɦ ɒ t oː
kapcsolódik	k ɒ p t͡ʃ o l oː d i k
kapcsolódó	k ɒ p t͡ʃ o l oː d oː
kapcsolódóan	k ɒ p t͡ʃ o l oː d oː ɒ n
kapcsolók	k ɒ p t͡ʃ o l oː k
kapható	k ɒ p h ɒ t oː
kapitány	k ɒ p i t aː ɲ
kapja	k ɒ p j ɒ
kapjanak	k ɒ p j ɒ n ɒ k
kapjon	k ɒ p j o n
kapjuk	k ɒ p j u k
kapjunk	k ɒ p j u ŋ k
kapják	k ɒ p j aː k
kapna	k ɒ p n ɒ
kapnak	k ɒ p n ɒ k
kapni	k ɒ p n i
kapok	k ɒ p o k
kaposvár	k ɒ p o ʃ v aː r
kaposvári	k ɒ p o ʃ v aː r i
kapott	k ɒ p o tː
kapsz	k ɒ p s
kapta	k ɒ p t ɒ
kaptak	k ɒ p t ɒ k
kaptam	k ɒ p t ɒ m
kaptuk	k ɒ p t u k
kaptunk	k ɒ p t u ŋ k
kapu	k ɒ p u
kapukon	k ɒ p u k o n
kapunk	k ɒ p u ŋ k
kapura	k ɒ p u r ɒ
kapus	k ɒ p u ʃ
kapusuk	k ɒ p u ʃ u k
kaput	k ɒ p u t
kar	k ɒ r
karbantartások	k ɒ r b ɒ n t ɒ r t aː ʃ o k
karcsú	k ɒ r t͡ʃ uː
kard	k ɒ r d
kari	k ɒ r i
karikatúra	k ɒ r i k ɒ t uː r ɒ
karitatív	k ɒ r i t ɒ t iː v
karját	k ɒ r j aː t
karnis	k ɒ r n i ʃ
karton	k ɒ r t o n
karácsonyi	k ɒ r aː t͡ʃ o ɲ i
karácsonyt	k ɒ r aː t͡ʃ o ɲ t
karán	k ɒ r aː n
karó	k ɒ r oː
karú	k ɒ r uː
kastély	k ɒ ʃ t eː j
kaszinó	k ɒ s i n oː
kata	k ɒ t ɒ
katasztrofális	k ɒ t ɒ s t r o f aː l i ʃ
katasztrófa	k ɒ t ɒ s t r oː f ɒ
kategória	k ɒ t ɛ ɡ oː r i j ɒ
kategóriába	k ɒ t ɛ ɡ oː r i j aː b ɒ
kategóriában	k ɒ t ɛ ɡ oː r i j aː b ɒ n
kategóriákat	k ɒ t ɛ ɡ oː r i j aː k ɒ t
kategóriákban	k ɒ t ɛ ɡ oː r i j aː ɡ b ɒ n
kategóriát	k ɒ t ɛ ɡ oː r i j aː t
kati	k ɒ t i
katolikus	k ɒ t o l i k u ʃ
katona	k ɒ t o n ɒ
katonák	k ɒ t o n aː k
katonákat	k ɒ t o n aː k ɒ t
kattints	k ɒ tː i n t͡ʃ
kattintás	k ɒ tː i n t aː ʃ
kecske	k ɛ t͡ʃ k ɛ
kedden	k ɛ dː ɛ n
keddi	k ɛ dː i
kedvenc	k ɛ d v ɛ n t͡s
kedves	k ɛ d v ɛ ʃ
kedvezmények	k ɛ d v ɛ z m eː ɲ ɛ k
kedvezményeket	k ɛ d v ɛ z m eː ɲ ɛ k ɛ t
kedvezményes	k ɛ d v ɛ z m eː ɲ ɛ ʃ
kedvezményt	k ɛ d v ɛ z m eː ɲ t
kedvező	k ɛ d v ɛ z øː
kedvezőbb	k ɛ d v ɛ z øː bː
kedvezőtlen	k ɛ d v ɛ z øː t l ɛ n
kedvvel	k ɛ d v ɛ l
kegyelem	k ɛ ɟ ɛ l ɛ m
kegyetlen	k ɛ ɟ ɛ t l ɛ n
kekszeid	k ɛ k s ɛ j i d
kelemen	k ɛ l ɛ m ɛ n
kelenföld	k ɛ l ɛ ɱ f ø l d
kelet	k ɛ l ɛ t
keleti	k ɛ l ɛ t i
keletre	k ɛ l ɛ t r ɛ
kell	k ɛ lː
kellemes	k ɛ lː ɛ m ɛ ʃ
kellemetlen	k ɛ lː ɛ m ɛ t l ɛ n
kellene	k ɛ lː ɛ n ɛ
kellett	k ɛ lː ɛ tː
kelljen	k ɛ jː ɛ n
kellék	k ɛ lː eː k
kellő	k ɛ lː øː
kemping	k ɛ m p i ŋ ɡ
kemény	k ɛ m eː ɲ
keményen	k ɛ m eː ɲ ɛ n
keni	k ɛ n i
kerek	k ɛ r ɛ k
kerekded	k ɛ r ɛ ɡ d ɛ d
kereke	k ɛ r ɛ k ɛ
kerekes	k ɛ r ɛ k ɛ ʃ
keres	k ɛ r ɛ ʃ
keresem	k ɛ r ɛ ʃ ɛ m
keresett	k ɛ r ɛ ʃ ɛ tː
keresi	k ɛ r ɛ ʃ i
kereskedelem	k ɛ r ɛ ʃ k ɛ d ɛ l ɛ m
kereskedelmi	k ɛ r ɛ ʃ k ɛ d ɛ l m i
kereskedik	k ɛ r ɛ ʃ k ɛ d i k
kereskedés	k ɛ r ɛ ʃ k ɛ d eː ʃ
kereskedők	k ɛ r ɛ ʃ k ɛ d øː k
kereslet	k ɛ r ɛ ʃ l ɛ t
keresnek	k ɛ r ɛ ʃ n ɛ k
keresni	k ɛ r ɛ ʃ n i
keress	k ɛ r ɛ ʃː
keressük	k ɛ r ɛ ʃː y k
kereste	k ɛ r ɛ ʃ t ɛ
keresve	k ɛ r ɛ ʃ v ɛ
kereszt	k ɛ r ɛ s t
keresztcsont	k ɛ r ɛ s t t͡ʃ o n t
keresztelő	k ɛ r ɛ s t ɛ l øː
keresztre	k ɛ r ɛ s t r ɛ
keresztrejtvény	k ɛ r ɛ s t r ɛ j t v eː ɲ
keresztény	k ɛ r ɛ s t eː ɲ
keresztül	k ɛ r ɛ s t y l
keresztüli	k ɛ r ɛ s t y l i
keresés	k ɛ r ɛ ʃ eː ʃ
keresése	k ɛ r ɛ ʃ eː ʃ ɛ
kereső	k ɛ r ɛ ʃ øː
keresők	k ɛ r ɛ ʃ øː k
keret	k ɛ r ɛ t
keretek	k ɛ r ɛ t ɛ k
keretet	k ɛ r ɛ t ɛ t
keretében	k ɛ r ɛ t eː b ɛ n
kertel	k ɛ r t ɛ l
kertészet	k ɛ r t eː s ɛ t
kerámia	k ɛ r aː m i j ɒ
kerékpáros	k ɛ r eː k p aː r o ʃ
kerítés	k ɛ r iː t eː ʃ
kerület	k ɛ r y l ɛ t
kerületben	k ɛ r y l ɛ d b ɛ n
kerületek	k ɛ r y l ɛ t ɛ k
kerülhet	k ɛ r y l ɦ ɛ t
kerülni	k ɛ r y l n i
került	k ɛ r y l t
kerültek	k ɛ r y l t ɛ k
kerülték	k ɛ r y l t eː k
kerülő	k ɛ r y l øː
ketten	k ɛ tː ɛ n
kettes	k ɛ tː ɛ ʃ
kettévág	k ɛ tː eː v aː ɡ
kettő	k ɛ tː øː
kettős	k ɛ tː øː ʃ
keverék	k ɛ v ɛ r eː k
kevesebb	k ɛ v ɛ ʃ ɛ bː
kevesebbet	k ɛ v ɛ ʃ ɛ bː ɛ t
kevesen	k ɛ v ɛ ʃ ɛ n
keveset	k ɛ v ɛ ʃ ɛ t
kevés	k ɛ v eː ʃ
kevéssé	k ɛ v eː ʃː eː
kezd	k ɛ z d
kezdeményezés	k ɛ z d ɛ m eː ɲ ɛ z eː ʃ
kezdesz	k ɛ z d ɛ s
kezdett	k ɛ z d ɛ tː
kezdetén	k ɛ z d ɛ t eː n
kezdik	k ɛ z d i k
kezdte	k ɛ s t ɛ
kezdtek	k ɛ s t ɛ k
kezdték	k ɛ s t eː k
kezdve	k ɛ z d v ɛ
kezdünk	k ɛ z d y ŋ k
kezdődik	k ɛ z d øː d i k
kezdődött	k ɛ z d øː d ø tː
kezdődő	k ɛ z d øː d øː
keze	k ɛ z ɛ
kezei	k ɛ z ɛ j i
kezel	k ɛ z ɛ l
kezelhető	k ɛ z ɛ l ɦ ɛ t øː
kezelik	k ɛ z ɛ l i k
kezelni	k ɛ z ɛ l n i
kezelés	k ɛ z ɛ l eː ʃ
kezelése	k ɛ z ɛ l eː ʃ ɛ
kezelések	k ɛ z ɛ l eː ʃ ɛ k
kezelést	k ɛ z ɛ l eː ʃ t
kezelésében	k ɛ z ɛ l eː ʃ eː b ɛ n
kezelésére	k ɛ z ɛ l eː ʃ eː r ɛ
kezelő	k ɛ z ɛ l øː
kezem	k ɛ z ɛ m
kezemben	k ɛ z ɛ m b ɛ n
kezes	k ɛ z ɛ ʃ
kezébe	k ɛ z eː b ɛ
kezében	k ɛ z eː b ɛ n
kezét	k ɛ z eː t
kiabálnak	k i j ɒ b aː l n ɒ k
kiadja	k i j ɒ ɟː ɒ
kiadni	k i j ɒ d n i
kiadott	k i j ɒ d o tː
kiadványok	k i j ɒ d v aː ɲ o k
kiadás	k i j ɒ d aː ʃ
kiadások	k i j ɒ d aː ʃ o k
kiadó	k i j ɒ d oː
kialakult	k i j ɒ l ɒ k u l t
kialakulása	k i j ɒ l ɒ k u l aː ʃ ɒ
kialakulásának	k i j ɒ l ɒ k u l aː ʃ aː n ɒ k
kialakítani	k i j ɒ l ɒ k iː t ɒ n i
kialakítása	k i j ɒ l ɒ k iː t aː ʃ ɒ
kialakításában	k i j ɒ l ɒ k iː t aː ʃ aː b ɒ n
kialakításához	k i j ɒ l ɒ k iː t aː ʃ aː ɦ o z
kialakításának	k i j ɒ l ɒ k iː t aː ʃ aː n ɒ k
kialakítására	k i j ɒ l ɒ k iː t aː ʃ aː r ɒ
kicsi	k i t͡ʃ i
kicsik	k i t͡ʃ i k
kicsit	k i t͡ʃ i t
kicsivel	k i t͡ʃ i v ɛ l
kicsoda	k i t͡ʃ o d ɒ
kiderül	k i d ɛ r y l
kiderült	k i d ɛ r y l t
kidolgozott	k i d o l ɡ o z o tː
kidolgozása	k i d o l ɡ o z aː ʃ ɒ
kiegészítve	k i j ɛ ɡ eː s iː t v ɛ
kiegészítés	k i j ɛ ɡ eː s iː t eː ʃ
kiegészítő	k i j ɛ ɡ eː s iː t øː
kiegészítők	k i j ɛ ɡ eː s iː t øː k
kielégítő	k i j ɛ l eː ɡ iː t øː
kiemelkedő	k i j ɛ m ɛ l k ɛ d øː
kiemelt	k i j ɛ m ɛ l t
kiemelten	k i j ɛ m ɛ l t ɛ n
kifejezetten	k i f ɛ j ɛ z ɛ tː ɛ n
kifejező	k i f ɛ j ɛ z øː
kifizetni	k i f i z ɛ t n i
kifogástalan	k i f o ɡ aː ʃ t ɒ l ɒ n
kihasználni	k i ɦ ɒ s n aː l n i
kihívás	k i ɦ iː v aː ʃ
kihívást	k i ɦ iː v aː ʃ t
kihúzok	k i ɦ uː z o k
kijelentette	k i j ɛ l ɛ n t ɛ tː ɛ
kijelölt	k i j ɛ l ø l t
kijev	k i j ɛ v
kijött	k i j ø tː
kikre	k i k r ɛ
kilenc	k i l ɛ n t͡s
kilencven	k i l ɛ n t͡s v ɛ n
kilencvenes	k i l ɛ n t͡s v ɛ n ɛ ʃ
kilométer	k i l o m eː t ɛ r
kilométeres	k i l o m eː t ɛ r ɛ ʃ
kilométerre	k i l o m eː t ɛ rː ɛ
kilátás	k i l aː t aː ʃ
kilátások	k i l aː t aː ʃ o k
kilót	k i l oː t
kim	k i m
kimegy	k i m ɛ ɟ
kiment	k i m ɛ n t
kimenő	k i m ɛ n øː
kimondottan	k i m o n d o tː ɒ n
kint	k i n t
király	k i r aː j
királyné	k i r aː j n eː
királynő	k i r aː j n øː
királyok	k i r aː j o k
királyság	k i r aː j ʃ aː ɡ
kirándulás	k i r aː n d u l aː ʃ
kis	k i ʃ
kisbaba	k i ʒ b ɒ b ɒ
kisbolygó	k i ʒ b o j ɡ oː
kisebb	k i ʃː ɛ bː
kisebbségi	k i ʃː ɛ p ʃ eː ɡ i
kisfiú	k i ʃ f i j uː
kiskereskedelmi	k i ʃ k ɛ r ɛ ʃ k ɛ d ɛ l m i
kislány	k i ʃ l aː ɲ
kismama	k i ʃ m ɒ m ɒ
kiss	k i ʃ
kisváros	k i ʃ v aː r o ʃ
kiszáll	k i s aː lː
kitalált	k i t ɒ l aː l t
kitartott	k i t ɒ r t o tː
kiterjed	k i t ɛ r j ɛ d
kiterjedt	k i t ɛ r j ɛ tː
kiterjedő	k i t ɛ r j ɛ d øː
kitevő	k i t ɛ v øː
kitöltve	k i t ø l t v ɛ
kitört	k i t ø r t
kitűnő	k i t yː n øː
kitűnően	k i t yː n øː ɛ n
kitűzött	k i t yː z ø tː
kivitelben	k i v i t ɛ l b ɛ n
kiválasztani	k i v aː l ɒ s t ɒ n i
kiválasztott	k i v aː l ɒ s t o tː
kiválasztása	k i v aː l ɒ s t aː ʃ ɒ
kiváltság	k i v aː l t͡ʃ aː ɡ
kiváló	k i v aː l oː
kiválóan	k i v aː l oː ɒ n
kivétel	k i v eː t ɛ l
kivételek	k i v eː t ɛ l ɛ k
kivételes	k i v eː t ɛ l ɛ ʃ
kivételével	k i v eː t ɛ l eː v ɛ l
kivéve	k i v eː v ɛ
kizárt	k i z aː r t
kizárólag	k i z aː r oː l ɒ ɡ
kiállt	k i j aː l t
kiállítás	k i j aː lː iː t aː ʃ
kiállítása	k i j aː lː iː t aː ʃ ɒ
kiállítást	k i j aː lː iː t aː ʃ t
kiépítése	k i j eː p iː t eː ʃ ɛ
kkv	k aː k aː v eː
klasszikus	k l ɒ sː i k u ʃ
klasszikusok	k l ɒ sː i k u ʃ o k
klinikai	k l i n i k ɒ j i
klán	k l aː n
klíma	k l iː m ɒ
koalíció	k o ɒ l iː t͡s i j oː
koalíciós	k o ɒ l iː t͡s i j oː ʃ
kockázati	k o t͡s k aː z ɒ t i
kockázatot	k o t͡s k aː z ɒ t o t
kocsi	k o t͡ʃ i
kocsiban	k o t͡ʃ i b ɒ n
kocsik	k o t͡ʃ i k
kocsis	k o t͡ʃ i ʃ
kocsival	k o t͡ʃ i v ɒ l
kodály	k o d aː j
kognitív	k o ɡ n i t iː v
kohászok	k o ɦ aː s o k
koleszterin	k o l ɛ s t ɛ r i n
kollokvium	k o lː o k v i j u m
kollégium	k o lː eː ɡ i j u m
kolozsvári	k o l o ʒ v aː r i
koma	k o m ɒ
kombi	k o m b i
kombinált	k o m b i n aː l t
kommersz	k o mː ɛ r s
kommunikáció	k o mː u n i k aː t͡s i j oː
kommunista	k o mː u n i ʃ t ɒ
kommunizmus	k o mː u n i z m u ʃ
kommunális	k o mː u n aː l i ʃ
komolyan	k o m o j ɒ n
komondor	k o m o n d o r
komor	k o m o r
kompatibilis	k o m p ɒ t i b i l i ʃ
kompatibilitás	k o m p ɒ t i b i l i t aː ʃ
komplett	k o m p l ɛ tː
komplex	k o m p l ɛ k s
komplexitás	k o m p l ɛ k s i t aː ʃ
kompresszor	k o m p r ɛ sː o r
koncentrációs	k o n t͡s ɛ n t r aː t͡s i j oː ʃ
koncentrált	k o n t͡s ɛ n t r aː l t
koncert	k o n t͡s ɛ r t
koncertek	k o n t͡s ɛ r t ɛ k
koncerten	k o n t͡s ɛ r t ɛ n
kondor	k o n d o r
konferencián	k o ɱ f ɛ r ɛ n t͡s i j aː n
konferenciát	k o ɱ f ɛ r ɛ n t͡s i j aː t
kongresszus	k o ŋ ɡ r ɛ sː u ʃ
kongói	k o ŋ ɡ oː j i
konkrét	k o ŋ k r eː t
konstrukció	k o n ʃ t r u k t͡s i j oː
konszenzus	k o n s ɛ n z u ʃ
konszern	k o n s ɛ r n
konszolidáció	k o n s o l i d aː t͡s i j oː
kontroll	k o n t r o lː
konténerek	k o n t eː n ɛ r ɛ k
konyha	k o ɲ ɦ ɒ
konzervatív	k o n z ɛ r v ɒ t iː v
konzervál	k o n z ɛ r v aː l
konzol	k o n z o l
konzorcium	k o n z o r t͡s i j u m
konzultáció	k o n z u l t aː t͡s i j oː
kora	k o r ɒ
korai	k o r ɒ j i
korea	k o r ɛ ɒ
kori	k o r i
korlátlan	k o r l aː t l ɒ n
korlátok	k o r l aː t o k
korlátozás	k o r l aː t o z aː ʃ
kormányfő	k o r m aː ɲ f øː
kormánypárti	k o r m aː ɲ p aː r t i
kormányzat	k o r m aː ɲ z ɒ t
kormányzati	k o r m aː ɲ z ɒ t i
kormányzás	k o r m aː ɲ z aː ʃ
kormányzó	k o r m aː ɲ z oː
koronát	k o r o n aː t
korrupció	k o rː u p t͡s i j oː
korszerű	k o r s ɛ r yː
kortárs	k o r t aː r ʃ
korában	k o r aː b ɒ n
korábban	k o r aː bː ɒ n
korán	k o r aː n
koszovó	k o s o v oː
kovács	k o v aː t͡ʃ
kozma	k o z m ɒ
kozmopolita	k o z m o p o l i t ɒ
kreatív	k r ɛ ɒ t iː v
krisztus	k r i s t u ʃ
kritikai	k r i t i k ɒ j i
kritikus	k r i t i k u ʃ
kritikusok	k r i t i k u ʃ o k
kritérium	k r i t eː r i j u m
krém	k r eː m
krémes	k r eː m ɛ ʃ
krízis	k r iː z i ʃ
ksh	k aː ɛ ʃ h aː
kubai	k u b ɒ j i
kulcs	k u l t͡ʃ
kulcsszavak	k u l t͡ʃ s ɒ v ɒ k
kulturális	k u l t u r aː l i ʃ
kulturált	k u l t u r aː l t
kultúra	k u l t uː r ɒ
kupa	k u p ɒ
kupleráj	k u p l ɛ r aː j
kuratórium	k u r ɒ t oː r i j u m
kusza	k u s ɒ
kutas	k u t ɒ ʃ
kutatás	k u t ɒ t aː ʃ
kutatása	k u t ɒ t aː ʃ ɒ
kutatási	k u t ɒ t aː ʃ i
kutatások	k u t ɒ t aː ʃ o k
kutatást	k u t ɒ t aː ʃ t
