aad	aː t
druiven	d r œ y̯ v ə n
druk	d r ʏ k
drukken	d r ʏ k ə n
drukker	d r ʏ k ə r
drukkerij	d r ʏ k ə r ɛ i̯
drukte	d r ʏ k t ə
drukwerk	d r ʏ k ʋ ɛ r k
drum	d r ʏ m
drummer	d r ʏ m ə r
drumstel	d r ʏ m s t ɛ l
du	d y
dualiteit	d y aː l i t ɛ i̯ t
dubbel	d ʏ b ə l
dubbeltje	d ʏ b ə l t j ə
dubben	d ʏ b ə n
dubieus	d y b i øː s
duel	d y ʋ ɛ l
duidelijk	d œ y̯ d ə l ə k
duiden	d œ y̯ d ə n
duiding	d œ y̯ d ɪ ŋ
duif	d œ y̯ f
duikbril	d œ y̯ k b r ɪ l
duiker	d œ y̯ k ə r
duiksport	d œ y̯ k s p ɔ r t
duim	d œ y̯ m
duimen	d œ y̯ m ə n
duin	d œ y̯ n
duisburg	d œ y̯ s b ʏ r x
duisternis	d œ y̯ s t ə r n ɪ s
duits	d œ y̯ t s
duitser	d œ y̯ t s ə r
duitsland	d œ y̯ t s l ɑ n t
duivel	d œ y̯ v ə l
duivels	d œ y̯ v ə l s
duiven	d œ y̯ v ə n
duiventil	d œ y̯ v ə n t ɪ l
duizelingwekkend	d œ y̯ z ə l ɪ ŋ ʋ ɛ k ə n t
dun	d ʏ n
dunk	d ʏ ŋ k
dupe	d y p ə
duren	d y r ə n
durf	d ʏ r f
durven	d ʏ r v ə n
dus	d ʏ s
dusdanig	d ʏ s d aː n ə x
dusverre	d ʏ s f ɛ r ə
duur	d y r
duurzaam	d yː r z aː m
duurzaamheid	d yː r z aː m ɦ ɛ i̯ t
duut	d y t
duw	d y u̯
duwen	d y u̯ ə n
dvd	d eː v eː d eː
dwaalgast	d ʋ aː l ɣ ɑ s t
dwaas	d ʋ aː s
dwang	d ʋ ɑ ŋ
dwangsom	d ʋ ɑ ŋ s ɔ m
dwars	d ʋ ɑ r s
dwarsliggen	d ʋ ɑ r s l ɪ ɣ ə n
dwarszitten	d ʋ ɑ r s ɪ t ə n
dweil	d ʋ ɛ i̯ l
dweilen	d ʋ ɛ i̯ l ə n
dweilorkest	d ʋ ɛ i̯ l ɔ r k ɛ s t
dwingen	d ʋ ɪ ŋ ə n
dynamiek	d i n aː m i k
dynamisch	d i n aː m i s
dynamo	d i n aː m oː
dyslexie	d ɪ s l ɛ k s i
ebbenhout	ɛ b ə n ɦ ɑ u̯ t
echt	ɛ x t
echtgenoot	ɛ x t x ə n oː t
echtpaar	ɛ x t p aː r
echtscheiding	ɛ x t s x ɛ i̯ d ɪ ŋ
eclips	eː k l ɪ p s
ecoduct	eː k oː d ʏ k t
ecosysteem	eː k oː s i s t eː m
ede	eː d ə
edel	eː d ə l
edelhert	eː d ə l ɦ ɛ r t
eden	eː d ə n
edgar	ɛ t x ɑ r
eed	eː t
eekhoorn	eː k ɦ oː r ə n
eenduidig	eː n d œ y̯ d ə x
eenenzestig	eː n ə n s ɛ s t ə x
eenheid	eː n ɦ ɛ i̯ t
eenheidsstaat	eː n ɦ ɛ i̯ t s t aː t
eenheidsworst	eː n ɦ ɛ i̯ t s ʋ ɔ r s t
eenhoorn	eː n ɦ oː r n
eens	eː n s
eenvoud	eː n v ɑ u̯ t
eenvoudig	eː n v ɑ u̯ d ə x
eenzaam	eː n z aː m
eer	eː r
eerbied	eː r b i t
eerder	eː r d ə r
eerherstel	eː r ɦ ɛ r s t ɛ l
eerlijk	eː r l ə k
eerst	eː r s t
eerstdaags	eː r s t d aː x s
eerste	eː r s t ə
eerstejaars	eː r s t ə j aː r s
eet	eː t
eetstoornis	eː t s t oː r n ɪ s
eeuw	eː u̯
eeuwig	eː u̯ ə x
eeuwigheid	eː u̯ ə x ɦ ɛ i̯ t
effen	ɛ f ə n
eg	ɛ x
egel	eː ɣ ə l
egoïsme	eː ɣ oː ɪ s m ə
egyptisch	eː ɣ ɪ p t i s
ehbo	eː ɦ aː b eː oː
ei	ɛ i̯
eieren	ɛ i̯ j ə r ə n
eierstok	ɛ i̯ ə r s t ɔ k
eigendom	ɛ i̯ ɣ ə n d ɔ m
eigenlijk	ɛ i̯ ɣ ə n l ə k
eigenschap	ɛ i ɣ ə n s x ɑ p
eigenwijs	ɛ i̯ ɣ ə n ʋ ɛ i̯ s
eiken	ɛ i̯ k ə n
eiland	ɛ i̯ l ɑ n t
eilandengroep	ɛ i̯ l ɑ n d ə n ɣ r u p
eindbestemming	ɛ i̯ n t b ə s t ɛ m ɪ ŋ
einde	ɛ i̯ n d ə
einder	ɛ i̯ n d ə r
eindigen	ɛ i̯ n d ə ɣ ə n
eis	ɛ i̯ s
eisen	ɛ i̯ s ə n
eiser	ɛ i̯ s ə r
eitje	ɛ i̯ t j ə
eksterogen	ɛ k s t ə r oː ɣ ə n
el	ɛ l
elasticiteit	eː l ɑ s t i s i t ɛ i̯ t
elburg	ɛ l b ʏ r x
elektrisch	eː l ɛ k t r i s
elektromagneet	eː l ɛ k t r oː m ɑ x n eː t
elektronisch	eː l ɛ k t r oː n i s
elf	ɛ l ə f
elfde	ɛ l f d ə
elfen	ɛ l v ə n
eline	eː l i n ə
elitair	eː l i t ɛː r
elite	eː l i t ə
elk	ɛ l k
elkaars	ɛ l k aː r s
elpee	ɛ l p eː
els	ɛ l s
elst	ɛ l s t
elvin	ɛ l v ɪ n
elzas	ɛ l z ɑ s
emigreren	eː m i ɣ r eː r ə n
emissiehandel	eː m ɪ s i ɦ ɑ n d ə l
emmer	ɛ m ə r
enclave	ɑ ŋ k l aː v ə
ene	eː n ə
enerzijds	eː n ə r z ɛ i̯ t s
eng	ɛ ŋ
engel	ɛ ŋ ə l
engels	ɛ ŋ ə l s
engelse	ɛ ŋ ə l s ə
engelsman	ɛ ŋ ə l s m ɑ n
enkel	ɛ ŋ k ə l
enkele	ɛ ŋ k ə l ə
enkelvoudig	ɛ ŋ k ə l v ɑ u̯ d ə x
enkhuizen	ɛ ŋ k ɦ œ y̯ z ə n
enschede	ɛ n s x ə d eː
ent	ɛ n t
enten	ɛ n t ə n
enthousiasme	ɑ n t u ʒ ɑ s m ə
enzym	ɛ n z i m
epe	eː p ə
epidemiologie	eː p i d eː m i oː l oː ɣ i
episch	eː p i s
epsilon	ɛ p s i l ɔ n
eraan	ə r aː n
eredivisie	eː r ə d i v i s i
eren	eː r ə n
eretitel	eː r ə t i t ə l
erfzonde	ɛ r f s ɔ n d ə
ergens	ɛ r ɣ ə n s
erin	ə r ɪ n
erkennen	ɛ r k ɛ n ə n
ervaren	ɛ r v aː r ə n
ervaring	ɛ r v aː r ɪ ŋ
erven	ɛ r v ə n
esdorp	ɛ s d ɔ r p
essay	ɛ s eː
essayist	ɛ s eː ɪ s t
essentieel	ɛ s ɛ n s j eː l
est	ɛ s t
esther	ɛ s t ə r
esthetisch	ɛ s t eː t i s
estland	ɛ s t l ɑ n t
etalage	eː t aː l aː ʒ ə
etaleren	eː t aː l eː r ə n
eten	eː t ə n
etenstijd	eː t ə n s t ɛ i̯ t
ethiek	eː t i k
ethiopië	eː t i oː p i ə
eu	eː y
euro	øː r oː
eurocent	øː r oː s ɛ n t
eurocommissaris	øː r oː k ɔ m ɪ s aː r ɪ s
europa	øː r oː p aː
europees	øː r oː p eː s
euthanasie	œ y̯ t aː n aː z i
eva	eː v aː
evacuatie	eː v aː k y aː t s i
evaluatie	eː v aː l y aː t s i
evalueren	eː v aː l y eː r ə n
evangelie	eː v ɑ ŋ ɣ eː l i
evenaar	eː v ə n aː r
evenaren	eː v ə n aː r ə n
evenknie	eː v ə n k n i
evers	eː v ə r s
evolueren	eː v oː l y eː r ə n
exact	ɛ k s ɑ k t
excuus	ɛ k s k y s
executie	ɛ k s ə k y t s i
exodus	ɛ k s oː d ʏ s
exotherm	ɛ k s oː t ɛ r m
experimenteren	ɛ k s p eː r i m ɛ n t eː r ə n
exploderen	ɛ k s p l oː d eː r ə n
exploitatie	ɛ k s p l ʋ ɑ t aː t s i
explosie	ɛ k s p l oː z iː
explosief	ɛ k s p l oː z i f
exporteren	ɛ k s p ɔ r t eː r ə n
exposeren	ɛ k s p oː z eː r ə n
extase	ɛ k s t aː z ə
extract	ɛ k t r ɑ k t
ezel	eː z ə l
ezels	eː z ə l s
faalangst	f aː l ɑ ŋ s t
faam	f aː m
fabel	f aː b ə l
fabriceren	f ɑ b r i s eː r ə n
fabriek	f aː b r i k
fabrieken	f ɑ b r i k ə n
facebook	f eː s b u k
factor	f ɑ k t ɔ r
factotumpje	f ɑ k t o t ʏ m p j ə
factureren	f ɑ k t y r eː r ə n
factuur	f ɑ k t yː r
fagot	f aː ɣ ɔ t
falen	f aː l ə n
falsifieerbaar	f ɑ l s ɪ f j ɛ r b aː r
familie	f ɑ m i l i
familielid	f aː m i l i l ɪ t
familienaam	f aː m i l i n aː m
fanclub	f ɛ n k l ʏ p
fantaseren	f ɑ n t aː z eː r ə n
fantasie	f ɑ n t aː z i
fantasievol	f ɑ n t aː z i v ɔ l
fantastisch	f ɑ n t ɑ s t i s
farmacologie	f ɑ r m aː k oː l oː ɣ i
fase	f aː z ə
faseren	f aː z eː r ə n
fataal	f aː t aː l
fauna	f ɑ u̯ n aː
fauteuil	f oː t œ y̯
fax	f ɑ k s
faxen	f ɑ k s ə n
februari	f eː b r y aː r i
federaal	f eː d ə r aː l
federatie	f eː d eː r aː t s i
feest	f eː s t
feestdag	f eː s d ɑ x
feesten	f eː s t ə n
feestgedruis	f eː s t x ə d r œ y̯ s
feestweek	f eː s t ʋ eː k
feestzaal	f eː s t s aː l
feit	f ɛ i̯ t
feminist	f eː m i n ɪ s t
festival	f ɛ s t i v ɑ l
fictie	f ɪ k s i
fier	f i r
fiets	f i t s
fietsen	f i t s ə n
fietsenstalling	f i t s ə n s t ɑ l ɪ ŋ
fietser	f i t s ə r
fietshelm	f i t s ɦ ɛ l m
fietskaart	f i t s k aː r t
fietst	f i t s t
filiaal	f i l i aː l
filmen	f ɪ l m ə n
filmmuziek	f ɪ l m m y z i k
filmregisseur	f ɪ l m r eː ɣ i s øː r
filosofie	f i l oː s oː f i
filosoof	f i l oː s oː f
filter	f ɪ l t ə r
filtratie	f ɪ l t r aː t s i
finale	f i n aː l ə
finalist	f i n aː l ɪ s t
financieren	f i n ɑ n s iː r ə n
financiën	f i n ɑ n s i j ə n
finland	f ɪ n l ɑ n t
firmament	f ɪ r m aː m ɛ n t
fixeren	f ɪ k s eː r ə n
flamingo	f l aː m ɪ ŋ ɡ oː
flauwekul	f l ɑ u̯ ʋ ə k ʏ l
fleurig	f l øː r ə x
flevoland	f l eː v oː l ɑ n t
flikker	f l ɪ k ə r
flipper	f l ɪ p ə r
flora	f l oː r aː
fluisteren	f l œ y̯ s t ə r ə n
fluit	f l œ y̯ t
fluiten	f l œ y̯ t ə n
fluwelen	f l y ʋ eː l ə n
focus	f oː k ʏ s
foetus	f øː t ʏ s
fokker	f ɔ k ə r
fokkerij	f ɔ k ə r ɛ i̯
fonetiek	f oː n eː t i k
fonopost	f oː n oː p ɔ s t
fons	f ɔ n s
fontein	f ɔ n t ɛ i̯ n
forceren	f ɔ r s eː r ə n
forensisch	f oː r ɛ n z i s
formeren	f ɔ r m eː r ə n
formule	f ɔ r m y l ə
formuleren	f ɔ r m y l eː r ə n
formulier	f ɔ r m y l iː r
fornuis	f ɔ r n œ y̯ s
forum	f oː r ʏ m
foto	f oː t oː
fotoalbum	f oː t oː ɑ l b ʏ m
fotoboek	f oː t oː b u k
fotografe	f oː t oː ɣ r aː f ə
fotograferen	f oː t oː ɣ r aː f eː r ə n
fotografie	f oː t oː ɣ r aː f i
fotografisch	f oː t oː ɣ r aː f i s
fotoreportage	f oː t oː r eː p ɔ r t aː ʒ ə
fotostudio	f oː t oː s t y d i oː
fout	f ɑ u̯ t
foutief	f ɑ u̯ t i f
frankisch	f r ɑ ŋ k i s
frankrijk	f r ɑ ŋ k r ɛ i̯ k
frans	f r ɑ n s
franse	f r ɑ n s ə
fraude	f r ɑ u̯ d ə
frederik	f r eː d ə r ɪ k
fretten	f r ɛ t ə n
fries	f r i s
friesland	f r i s l ɑ n t
fris	f r ɪ s
frits	f r ɪ t s
frituur	f r i t yː r
fronsen	f r ɔ n s ə n
frontaal	f r ɔ n t aː l
frustreren	f r ʏ s t r eː r ə n
fugitief	f y ɣ i t i f
fuiven	f œ y̯ v ə n
fulltime	f u l t ɑ i̯ m
functie	f ʏ ŋ k s i
functioneren	f ʏ n k t s j oː n eː r ə n
fundament	f ʏ n d aː m ɛ n t
fundering	f ʏ n d eː r ɪ ŋ
fungeren	f ʏ ŋ ɣ eː r ə n
fuseren	f y z eː r ə n
fysiotherapeut	f i z i oː t eː r aː p œ y̯ t
fysiotherapie	f i z i oː t eː r aː p i
föhn	f øː n
gaaf	ɣ aː f
gaan	ɣ aː n
gaarne	ɣ aː r n ə
gaas	ɣ aː s
gabber	ɣ ɑ b ə r
gabriël	ɣ aː b r i ɛ l
gade	ɣ aː d ə
gala	ɣ aː l aː
galaten	ɣ aː l aː t ə n
galerijflat	ɣ ɑ l ə r ɛ i̯ f l ɛ t
game	ɡ eː m
gamen	ɡ eː m ə n
gamer	ɡ eː m ə r
gang	ɣ ɑ ŋ
gangbaar	ɣ ɑ ŋ b aː r
gangmaker	ɣ ɑ ŋ m aː k ə r
gangster	ɡ ɛ ŋ s t ə r
gans	ɣ ɑ n s
garage	ɣ aː r aː ʒ ə
garanderen	ɣ aː r ɑ n d eː r ə n
garde	ɣ ɑ r d ə
garen	ɣ aː r ə n
gas	ɣ ɑ s
gassen	ɣ ɑ s ə n
gast	ɣ ɑ s t
gastenboek	ɣ ɑ s t ə n b u k
gastheer	ɣ ɑ s t ɦ eː r
gasthuis	ɣ ɑ s t ɦ œ y̯ s
gastronomisch	ɣ ɑ s t r oː n oː m i s
gastvrij	ɣ ɑ s t f r ɛ i̯
gastvrijheid	ɣ ɑ s t f r ɛ i̯ ɦ ɛ i̯ t
gastvrouw	ɣ ɑ s t f r ɑ u̯
gat	ɣ ɑ t
gave	ɣ aː v ə
gaza	ɣ aː z aː
gazastrook	ɣ aː z aː s t r oː k
gazon	ɣ aː z ɔ n
ge	ɣ ə
gebaar	ɣ ə b aː r
gebakken	ɣ ə b ɑ k ə n
gebarentaal	ɣ ə b aː r ə n t aː l
gebed	ɣ ə b ɛ t
gebergte	ɣ ə b ɛ r x t ə
gebeten	ɣ ə b eː t ə n
gebeuren	ɣ ə b øː r ə n
gebeurtenis	ɣ ə b øː r t ə n ɪ s
gebied	ɣ ə b i t
gebieden	ɣ ə b i d ə n
geboefte	ɣ ə b u f t ə
gebogen	ɣ ə b oː ɣ ə n
geboorte	ɣ ə b oː r t ə
geboortebeperking	ɣ ə b oː r t ə b ə p ɛ r k ɪ ŋ
geboren	ɣ ə b oː r ə n
geborgenheid	ɣ ə b ɔ r ɣ ə n ɦ ɛ i̯ t
gebouw	ɣ ə b ɑ u̯
gebrild	ɣ ə b r ɪ l t
gebruik	ɣ ə b r œ y̯ k
gebruikelijk	ɣ ə b r œ y̯ k ə l ə k
gebruiken	ɣ ə b r œ y̯ k ə n
gebruikersvriendelijk	ɣ ə b r œ y̯ k ə r s f r i n d ə l ə k
gebruikmaken	ɣ ə b r œ y̯ k m aː k ə n
gebruiksaanwijzing	ɣ ə b r œ y̯ k s aː n ʋ ɛ i̯ z ɪ ŋ
gebruikt	ɣ ə b r œ y̯ k t
gedaan	ɣ ə d aː n
gedacht	ɣ ə d ɑ x t
gedachte	ɣ ə d ɑ x t ə
gedachtegang	ɣ ə d ɑ x t ə ɣ ɑ ŋ
gedachtegoed	ɣ ə d ɑ x t ə ɣ u t
gedachtenis	ɣ ə d ɑ x t ə n ɪ s
gedeeld	ɣ ə d eː l t
gedicht	ɣ ə d ɪ x t
gedoe	ɣ ə d u
gedogen	ɣ ə d oː ɣ ə n
gedoogbeleid	ɣ ə d oː x b ə l ɛ i̯ t
gedragen	ɣ ə d r aː ɣ ə n
geduld	ɣ ə d ʏ l t
geduldig	ɣ ə d ʏ l d ə x
gedwee	ɣ ə d ʋ eː
geef	ɣ eː f
geel	ɣ eː l
geest	ɣ eː s t
gegaan	ɣ ə ɣ aː n
gegeven	ɣ ə ɣ eː v ə n
gegooid	ɣ ə ɣ oː i̯ t
gegrepen	ɣ ə ɣ r eː p ə n
gehaaid	ɣ ə ɦ aː i̯ t
gehakt	ɣ ə ɦ ɑ k t
gehaktbal	ɣ ə ɦ ɑ k t b ɑ l
gehalte	ɣ ə ɦ ɑ l t ə
gehemelte	ɣ ə ɦ eː m ə l t ə
geheten	ɣ ə ɦ eː t ə n
geheugen	ɣ ə ɦ øː ɣ ə n
gehoopt	ɣ ə ɦ oː p t
gehoorapparaat	ɣ ə ɦ oː r ɑ p aː r aː t
gehoorzaam	ɣ ə ɦ oː r z aː m
gehucht	ɣ ə ɦ ʏ x t
gehuwd	ɣ ə ɦ y u̯ t
gehuwde	ɣ ə ɦ y u̯ d ə
geil	ɣ ɛ i̯ l
geit	ɣ ɛ i̯ t
geiten	ɣ ɛ i̯ t ə n
gek	ɣ ɛ k
gekkekoeienziekte	ɣ ɛ k ə k u i̯ ə n z i k t ə
gekocht	ɣ ə k ɔ x t
gelaat	ɣ ə l aː t
geld	ɣ ɛ l t
geldbuidel	ɣ ɛ l t b œ y̯ d ə l
gelden	ɣ ɛ l d ə n
geldermalsen	ɣ ɛ l d ə r m ɑ l s ə n
geldhoeveelheid	ɣ ɛ l t ɦ u v eː l ɦ ɛ i̯ t
geldigheid	ɣ ɛ l d ə x ɦ ɛ i̯ t
gele	ɣ eː l ə
geleden	ɣ ə l eː d ə n
geleen	ɣ ə l eː n
gelegd	ɣ ə l ɛ x t
gelegen	ɣ ə l eː ɣ ə n
gelegenheid	ɣ ə l eː ɣ ə n ɦ ɛ i̯ t
geleider	ɣ ə l ɛ i̯ d ə r
geleiding	ɣ ə l ɛ i̯ d ɪ ŋ
gelezen	ɣ ə l eː z ə n
gelieve	ɣ ə l i v ə
gelijkmaker	ɣ ə l ɛ i̯ k m aː k ə r
gelijkstelling	ɣ ə l ɛ i̯ k s t ɛ l ɪ ŋ
gelijktijdigheid	ɣ ə l ɛ i̯ k t ɛ i̯ d ə ɣ ɦ ɛ i̯ d
geloofwaardig	ɣ ə l oː f ʋ aː r d ə x
geloofwaardigheid	ɣ ə l oː f ʋ aː r d ə x ɦ ɛ i̯ t
gelovig	ɣ ə l oː v ə x
gelovige	ɣ ə l oː v ə ɣ ə
geluid	ɣ ə l œ y̯ t
geluidskaart	ɣ ə l œ y̯ t k aː r t
geluidsoverlast	ɣ ə l œ y̯ t s oː v ə r l ɑ s t
geluk	ɣ ə l ʏ k
gelukzalig	ɣ ə l ʏ k s aː l ə x
gemaal	ɣ ə m aː l
gemak	ɣ ə m ɑ k
gematigd	ɣ ə m aː t ə x t
gember	ɣ ɛ m b ə r
gemeenschap	ɣ ə m eː n s x ɑ p
gemeente	ɣ ə m eː n t ə
gemeentehuis	ɣ ə m eː n t ə ɦ œ y̯ s
gemeenteraad	ɣ ə m eː n t ə r aː t
gemeenteraadslid	ɣ ə m eː n t ə r aː t s l ɪ t
gemis	ɣ ə m ɪ s
gemoeten	ɣ ə m u t ə n
gen	ɣ ɛ n
genaamde	ɣ ə n aː m d ə
genadeloos	ɣ ə n aː d ə l oː s
geneesheer	ɣ ə n eː s ɦ eː r
geneeskunde	ɣ ə n eː s k ʏ n d ə
geneesmiddel	ɣ ə n eː s m ɪ d ə l
generaal	ɣ eː n ə r aː l
generaliseren	ɣ eː n ə r aː l i z eː r ə n
generatie	ɣ eː n ə r aː t s i
genezen	ɣ ə n eː z ə n
geniaal	ɣ eː n i j aː l
genieten	ɣ ə n i t ə n
genoegen	ɣ ə n u ɣ ə n
genoot	ɣ ə n oː t
genoten	ɣ ə n oː t ə n
genre	ʒ ɑ n r ə
gent	ɣ ɛ n t
genua	ɣ eː n y ʋ aː
genève	z j ə n ɛː v ə
geodesie	ɣ eː oː d eː z i
geografie	ɣ eː oː ɣ r aː f i
geologie	ɣ eː oː l oː ɣ i
geologisch	ɣ eː oː l oː ɣ i s
georgië	ɣ eː j ɔ r ɣ i j ə
geraken	ɣ ə r aː k ə n
gerard	ɣ eː r ɑ r t
gerecht	ɣ ə r ɛ x t
gereed	ɣ ə r eː t
gereedschap	ɣ ə r eː t s x ɑ p
gereformeerd	ɣ ə r eː f ɔ r m eː r t
gerst	ɣ ɛ r s t
gerucht	ɣ ə r ʏ x t
gerven	ɣ ɛ r v ə n
geschenk	ɣ ə s x ɛ ŋ k
geschiedenis	ɣ ə s x i d ə n ɪ s
geschil	ɣ ə s x ɪ l
geschonden	ɣ ə s x ɔ n d ə n
geschreven	ɣ ə s x r eː v ə n
geschut	ɣ ə s x ʏ t
geslacht	ɣ ə s l ɑ x t
geslachtsrijp	ɣ ə s l ɑ x t s r ɛ i̯ p
gesloten	ɣ ə s l oː t ə n
gesneden	ɣ ə s n eː d ə n
gespierd	ɣ ə s p iː r t
gesprek	ɣ ə s p r ɛ k
gesproken	ɣ ə s p r ɔ k ə n
gestel	ɣ ə s t ɛ l
gestemd	ɣ ə s t ɛ m t
getogen	ɣ ə t oː ɣ ə n
getrokken	ɣ ə t r ɔ k ə n
getrouw	ɣ ə t r ɑ u
getrouwd	ɣ ə t r ɑ u̯ t
getuige	ɣ ə t œ y̯ ɣ ə
getuigen	ɣ ə t œ y̯ ɣ ə n
getuigenis	ɣ ə t œ y̯ ɣ ə n ɪ s
geuit	ɣ ə œ y̯ t
geul	ɣ øː l
geur	ɣ øː r
geuren	ɣ øː r ə n
geus	ɣ øː s
gevaar	ɣ ə v aː r
geval	ɣ ə v ɑ l
gevallen	ɣ ə v ɑ l ə n
gevangen	ɣ ə ʋ ɑ ŋ ə n
gevangenis	ɣ ə v ɑ ŋ ə n ɪ s
gevecht	ɣ ə v ɛ x t
gevel	ɣ eː v ə l
geven	ɣ eː v ə n
gevoel	ɣ ə v u l
gewacht	ɣ ə ʋ ɑ x t
geweer	ɣ ə ʋ eː r
geweest	ɣ ə ʋ eː s t
geweld	ɣ ə ʋ ɛ l t
gewelddadig	ɣ ə ʋ ɛ l d aː d ə x
geweldig	ɣ ə ʋ ɛ l d ə x
gewervelde	ɣ ə ʋ ɛ r v ə l d ə
gewest	ɣ ə ʋ ɛ s t
gewestelijk	ɣ ə ʋ ɛ s t ə l ə k
geweten	ɣ ə ʋ eː t ə n
gewetensbezwaarde	ɣ ə ʋ eː t ə n s b ə z ʋ aː r d ə
gewild	ɣ ə ʋ ɪ l t
gewillig	ɣ ə ʋ ɪ l ə x
gewonnen	ɣ ə ʋ ɔ n ə n
gewoon	ɣ ə ʋ oː n
gewoond	ɣ ə ʋ oː n t
gewoonte	ɣ ə ʋ oː n t ə
gewoonterecht	ɣ ə ʋ oː n t ə r ɛ x t
geworden	ɣ ə ʋ ɔ r d ə n
gezag	ɣ ə z ɑ x
gezagvoerder	ɣ ə z ɑ x f uː r d ə r
gezegd	ɣ ə z ɛ x t
gezegde	ɣ ə z ɛ x d ə
gezegende	ɣ ə z eː ɣ ə n d ə
gezel	ɣ ə z ɛ l
gezellig	ɣ ə z ɛ l ə x
gezelschapsspel	ɣ ə z ɛ l s x ɑ p s p ɛ l
gezicht	ɣ ə z ɪ x t
gezogen	ɣ ə z oː ɣ ə n
gezond	ɣ ə z ɔ n t
gezondheid	ɣ ə z ɔ n t ɦ ɛ i̯ t
geëerd	ɣ ə eː r t
ghana	ɣ aː n aː
gids	ɣ ɪ t s
gidsland	ɣ ɪ t s l ɑ n t
giek	ɣ i k
gieren	ɣ iː r ə n
gieten	ɣ i t ə n
gift	ɣ ɪ f t
giftig	ɣ ɪ f t ə x
giftigheid	ɣ ɪ f t ə x ɦ ɛ i̯ t
gij	ɣ ɛ i̯
gil	ɣ ɪ l
gilde	ɣ ɪ l d ə
gildos	ɣ ɪ l t ɔ s
gillen	ɣ ɪ l ə n
gips	ɣ ɪ p s
gist	ɣ ɪ s t
gisten	ɣ ɪ s t ə n
gisteren	ɣ ɪ s t ə r ə n
glaaien	ɣ l aː j ə n
glans	ɣ l ɑ n s
glastuinbouw	ɣ l ɑ s t œ y̯ n b ɑ u̯
glibberig	ɣ l ɪ b ə r ə x
glijbaan	ɣ l ɛ i b aː n
glijden	ɣ l ɛ i̯ d ə n
glijvlucht	ɣ l ɛ i̯ v l ʏ x t
glimmen	ɣ l ɪ m ə n
glippen	ɣ l ɪ p ə n
gloed	ɣ l u t
gloeilamp	ɣ l u i̯ l ɑ m p
goal	ɡ oː l
god	ɣ ɔ t
godheid	ɣ ɔ t ɦ ɛ i̯ t
godin	ɣ oː d ɪ n
godsdienst	ɣ ɔ t s d i n s t
goed	ɣ u t
goeddeels	ɣ u t d eː l s
goede	ɣ u d ə
goedemorgen	ɣ u d ə m ɔ r ɣ ə n
goedkeuren	ɣ u t k øː r ə n
goedkeuring	ɣ u t k øː r ɪ ŋ
goedkoop	ɣ u t k oː p
goeie	ɣ u j ə
goeiemorgen	ɣ u j ə m ɔ r ɣ ə n
goes	ɣ u s
gokverslaving	ɣ ɔ k f ə r s l aː v ɪ ŋ
golfslagbad	ɣ ɔ l f s l ɑ x b ɑ t
gondel	ɣ ɔ n d ə l
gonorroe	ɣ oː n ɔ r øː
goodwill	ɡ u t ʋ ɪ l
gooi	ɣ oː i̯
gooien	ɣ oː i̯ ə n
gooit	ɣ oː i̯ t
goot	ɣ oː t
gordijn	ɣ ɔ r d ɛ i̯ n
goud	ɣ ɑ u̯ t
gouden	ɣ ɑ u̯ d ə n
gourmetten	ɣ uː r m ɛ t ə n
gouvernement	ɣ u v ɛ r n ə m ɛ n t
graad	ɣ r aː t
graag	ɣ r aː x
graaicultuur	ɣ r aː i̯ k ʏ l t yː r
graan	ɣ r aː n
graancirkel	ɣ r aː n s ɪ r k ə l
gracht	ɣ r ɑ x t
grachtenhuis	ɣ r ɑ x t ə n ɦ œ y̯ s
gracieus	ɣ r aː s i øː s
graf	ɣ r ɑ f
grafiet	ɣ r aː f i t
grafsteen	ɣ r ɑ f s t eː n
gram	ɣ r ɑ m
granaat	ɣ r aː n aː t
granaatwerper	ɣ r aː n aː t ʋ ɛ r p ə r
grap	ɣ r ɑ p
grapjas	ɣ r ɑ p j ɑ s
grasduin	ɣ r ɑ s d œ y̯ n
grasduinen	ɣ r ɑ s d œ y̯ n ə n
grasland	ɣ r ɑ s l ɑ n t
grassen	ɣ r ɑ s ə n
grasveld	ɣ r ɑ s v ɛ l t
gratie	ɣ r aː t s i
gratis	ɣ r aː t ɪ s
grauw	ɣ r ɑ u̯
graven	ɣ r aː v ə n
gravin	ɣ r aː v ɪ n
grazen	ɣ r aː z ə n
grenen	ɣ r eː n ə n
grenzeloos	ɣ r ɛ n z ə l oː s
griek	ɣ r i k
griekenland	ɣ r i k ə n l ɑ n t
griep	ɣ r i p
griezel	ɣ r i z ə l
grijpen	ɣ r ɛ i̯ p ə n
grillen	ɣ r ɪ l ə n
grind	ɣ r ɪ n t
grip	ɣ r ɪ p
gristen	ɣ r ɪ s t ə n
groei	ɣ r u i̯
groeihormoon	ɣ r u i̯ ɦ ɔ r m oː n
groene	ɣ r u n ə
groente	ɣ r u n t ə
groesbeek	ɣ r u s b eː k
groet	ɣ r u t
groeten	ɣ r u t ə n
grof	ɣ r ɔ f
grond	ɣ r ɔ n t
gronden	ɣ r ɔ n d ə n
grondgebied	ɣ r ɔ n t x ə b i t
grondrecht	ɣ r ɔ n t r ɛ x t
grondslag	ɣ r ɔ n t s l ɑ x
grondstof	ɣ r ɔ n t s t ɔ f
grondvesten	ɣ r ɔ n t f ɛ s t ə n
grondwet	ɣ r ɔ n t ʋ ɛ t
