ᆯ지	ʎ t͡ɕ͈ i
막다르다	m a̠ k̚ t͈ a̠ ɾ ɯ d a̠
막바지	m a̠ k̚ p͈ a̠ d͡ʑ i
막차	m a̠ k̚ t͡ɕʰ a̠
만나기	m a̠ n n a̠ ɡ i
만나다	m a̠ n n a̠ d a̠
만날	m a̠ː n n a̠ ɭ
만남	m a̠ n n a̠ m
만년	m a̠ː n ɲ j ʌ̹ n
만년필	m a̠ː n ɲ j ʌ̹ n pʰ i ɭ
만능	m a̠ː n n ɯ ŋ
만들다	m a̠ n d ɯ ɭ d a̠
만리장성	m a̠ː ʎ ʎ i d͡ʑ a̠ ŋ sʰ ʌ̹ ŋ
만물	m a̠ː n m u ɭ
만성	m a̠ n sʰ ʌ̹ ŋ
만약	m a̠ː ɲ j a̠ k̚
만유	m a̠ː ɲ j u
만유인력	m a̠ː ɲ j u i ʎ ʎ j ʌ̹ k̚
만일	m a̠ː n i ɭ
만족	m a̠ ɲ d͡ʑ o̞ k̚
만주	m a̠ ɲ d͡ʑ u
만주국	m a̠ ɲ d͡ʑ u ɡ u k̚
만지다	m a̠ ɲ d͡ʑ i d a̠
만큼	m a̠ n k x ɯ m
만하다	m a̠ n ɦ a̠ d a̠
만화	m a̠ː n β w a̠
많은	m a̠ː n ɯ n
많이	m a̠ː n i
맏아들	m a̠ d a̠ d ɯ ɭ
맏이	m a̠ d͡ʑ i
맏형	m a̠ tʰ j ʌ̹ ŋ
말고기	m a̠ ɭ ɡ o̞ ɡ i
말기	m a̠ ɭ ɡ i
말다툼	m a̠ː ɭ d a̠ tʰ u m
말뚝	m a̠ ɭ t͈ u k̚
말라보	m a̠ ɭ ɭ a̠ b o̞
말라위	m a̠ ɭ ɭ a̠ ɥ i
말레	m a̠ ɭ ɭ e̞
말레이시아	m a̠ ɭ ɭ e̞ i ɕʰ i a̠
말레이어	m a̠ ɭ ɭ e̞ i ʌ̹
말리	m a̠ ʎ ʎ i
말미	m a̠ ɭ m i
말벌	m a̠ ɭ b ʌ̹ ɭ
말살하다	m a̠ ɭ s͈ a̠ ɾ ɦ a̠ d a̠
말솜씨	m a̠ː ɭ s͈ o̞ m ɕ͈ i
말썽꾸러기	m a̠ː ɭ s͈ ʌ̹ ŋ k͈ u ɾ ʌ̹ ɡ i
말씀	m a̠ː ɭ s͈ ɯ m
말하다	m a̠ː ɾ ɦ a̠ d a̠
맑다	m a̠ k̚ t͈ a̠
맑스주의	m a̠ k s͈ ɯ d͡ʑ u ɰ i
맛있다	m a̠ ɕʰ i t̚ t͈ a̠
망간	m a̠ ŋ ɡ a̠ n
망고	m a̠ ŋ ɡ o̞
망둑	m a̠ ŋ d u k̚
망령	m a̠ ŋ ɲ j ʌ̹ ŋ
망막	m a̠ ŋ m a̠ k̚
망상	m a̠ ŋ sʰ a̠ ŋ
망설이다	m a̠ ŋ sʰ ʌ̹ ɾ i d a̠
망시민	m a̠ ŋ ɕʰ i m i n
망치	m a̠ ŋ t͡ɕʰ i
망치다	m a̠ ŋ t͡ɕʰ i d a̠
망토	m a̠ ŋ tʰ o̞
맞벌이	m a̠ t̚ p͈ ʌ̹ ɾ i
맞부딪치다	m a̠ t̚ p͈ u d i t̚ t͡ɕʰ i d a̠
맞이	m a̠ d͡ʑ i
맞추다	m a̠ t̚ t͡ɕʰ u d a̠
맞춤	m a̠ t̚ t͡ɕʰ u m
맞흥정	m a̠ tʰ ɯ ŋ d͡ʑ ʌ̹ ŋ
맡다	m a̠ t̚ t͈ a̠
매국노	m ɛː ɡ u ŋ n o̞
매년	m ɛː ɲ j ʌ̹ n
매달리다	m ɛː d a̠ ʎ ʎ i d a̠
매미	m ɛː m i
매월	m ɛː w ʌ̹ ɭ
매일	m ɛː i ɭ
매장	m ɛː d͡ʑ a̠ ŋ
매점	m ɛː d͡ʑ ʌ̹ m
매주	m ɛː d͡ʑ u
매춘부	m ɛː t͡ɕʰ u n b u
매출	m ɛː t͡ɕʰ u ɭ
매표구	m ɛː pʰ j o ɡ u
맨날	m ɛː n n a̠ ɭ
맹세	m ɛː ŋ sʰ e̞
맹인	m ɛː ŋ i n
맹자	m ɛː ŋ d͡ʑ a̠
먄마	m j a̠ n m a̠
머구리	m ʌ̹ ɡ u ɾ i
머그잔	m ʌ̹ ɡ ɯ d͡ʑ a̠ n
머리	m ʌ̹ ɾ i
머리띠	m ʌ̹ ɾ i t͈ i
머리카락	m ʌ̹ ɾ i kʰ a̠ ɾ a̠ k̚
머리칼	m ʌ̹ ɾ i kʰ a̠ ɭ
머리털	m ʌ̹ ɾ i tʰ ʌ̹ ɭ
머리통	m ʌ̹ ɾ i tʰ o̞ ŋ
머무르다	m ʌ̹ m u ɾ ɯ d a̠
머물다	m ʌ̹ m u ɭ d a̠
머뭇거리다	m ʌ̹ m u t̚ k͈ ʌ̹ ɾ i d a̠
머슴	m ʌ̹ sʰ ɯ m
머시마	m ʌ̹ ɕʰ i m a̠
머핀	m ʌ̹ pʰ i n
먹다	m ʌ̹ k̚ t͈ a̠
먹물	m ʌ̹ ŋ m u ɭ
먹이	m ʌ̹ ɡ i
먹이다	m ʌ̹ ɡ i d a̠
먼저	m ʌ̹ ɲ d͡ʑ ʌ̹
먼지	m ʌ̹ ɲ d͡ʑ i
멀다	m ɘː ɭ d a̠
멀리	m ɘː ʎ ʎ i
멀미	m ʌ̹ ɭ m i
멀어지다	m ɘː ɾ ʌ̹ d͡ʑ i d a̠
멀쩡	m ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ
멀쩡하다	m ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
멀찌감치	m ʌ̹ ʎ t͡ɕ͈ i ɡ a̠ m t͡ɕʰ i
멈추다	m ʌ̹ m t͡ɕʰ u d a̠
멋없다	m ʌ̹ d ʌ̹ p̚ t͈ a̠
멋있다	m ʌ̹ ɕʰ i t̚ t͈ a̠
멋지다	m ʌ̹ t̚ t͡ɕ͈ i d a̠
멍에	m ʌ̹ ŋ e̞
멍텅구리	m ʌ̹ ŋ tʰ ʌ̹ ŋ ɡ u ɾ i
메가나	m e̞ ɡ a̠ n a̠
메기	m e̞ː ɡ i
메뉴	m e̞ ɲ j u
메달	m e̞ d a̠ ɭ
메뚜기	m e̞ t͈ u ɡ i
메모	m e̞ m o̞
메모리	m e̞ m o̞ ɾ i
메밀	m e̞ m i ɭ
메서드	m e̞ sʰ ʌ̹ d ɯ
메소드	m e̞ sʰ o̞ d ɯ
메시아	m e̞ ɕʰ i a̠
메이스	m e̞ i sʰ ɯ
메일	m e̞ i ɭ
메카	m e̞ kʰ a̠
메탄	m e̞ tʰ a̠ n
메터	m e̞ tʰ ʌ̹
메토끼	m e̞ tʰ o̞ k͈ i
멕시코시티	m e̞ k ɕ͈ i kʰ o̞ ɕʰ i tʰ i
멜라닌	m e̞ ɭ ɭ a̠ n i n
멜로	m e̞ ɭ ɭ o̞
멜로드라마	m e̞ ɭ ɭ o̞ d ɯ ɾ a̠ m a̠
멜론	m e̞ ɭ ɭ o̞ n
멜버른	m e̞ ɭ b ʌ̹ ɾ ɯ n
멧닭	m e̞ t̚ t͈ a̠ k̚
며느리	m j ʌ̹ n ɯ ɾ i
며칠	m j ʌ̹ t͡ɕʰ i ɭ
멱살	m j ʌ̹ k s͈ a̠ ɭ
면도기	m j ɘː n d o̞ ɡ i
면도칼	m j ɘː n d o̞ kʰ a̠ ɭ
면도하다	m j ɘː n d o̞ ɦ a̠ d a̠
면발	m j ʌ̹ n b a̠ ɭ
면서	m j ʌ̹ n sʰ ʌ̹
면세	m j ɘː n sʰ e̞
면역학	m j ɘː ɲ j ʌ̹ kʰ a̠ k̚
면적	m j ɘː ɲ d͡ʑ ʌ̹ k̚
면전	m j ʌ̹ ɲ d͡ʑ ʌ̹ n
면접	m j ɘː ɲ d͡ʑ ʌ̹ p̚
면허증	m j ɘː n ɦ ʌ̹ t͡ɕ͈ ɯ ŋ
멸망	m j ʌ̹ ɭ m a̠ ŋ
멸종	m j ʌ̹ ʎ t͡ɕ͈ o̞ ŋ
멸치	m j ʌ̹ ʎ t͡ɕʰ i
명곡	m j ʌ̹ ŋ ɡ o̞ k̚
명관	m j ʌ̹ ŋ ɡ w a̠ n
명단	m j ʌ̹ ŋ d a̠ n
명동	m j ʌ̹ ŋ d o̞ ŋ
명령하다	m j ɘː ŋ ɲ j ʌ̹ ŋ ɦ a̠ d a̠
명말청초	m j ʌ̹ ŋ m a̠ ʎ t͡ɕʰ ʌ̹ ŋ t͡ɕʰ o̞
명부	m j ʌ̹ ŋ b u
명사	m j ʌ̹ ŋ sʰ a̠
명성	m j ʌ̹ ŋ sʰ ʌ̹ ŋ
명소	m j ʌ̹ ŋ sʰ o̞
명예	m j ʌ̹ ŋ j e̞
명왕성	m j ʌ̹ ŋ w a̠ ŋ sʰ ʌ̹ ŋ
명의	m j ʌ̹ ŋ ɰ i
명인	m j ʌ̹ ŋ i n
명일	m j ʌ̹ ŋ i ɭ
명절	m j ʌ̹ ŋ d͡ʑ ʌ̹ ɭ
명주	m j ʌ̹ ŋ d͡ʑ u
명중	m j ɘː ŋ d͡ʑ u ŋ
명칭	m j ʌ̹ ŋ t͡ɕʰ i ŋ
명하다	m j ɘː ŋ ɦ a̠ d a̠
명함	m j ʌ̹ ŋ ɦ a̠ m
몇몇	m j ʌ̹ n m j ʌ̹ t̚
모가디슈	m o̞ ɡ a̠ d i ɕʰ u
모과	m o̞ː ɡ w a̠
모교	m o̞ː ɡ j o
모국	m o̞ː ɡ u k̚
모금	m o̞ ɡ ɯ m
모나코	m o̞ n a̠ kʰ o̞
모니터링	m o̞ n i tʰ ʌ̹ ɾ i ŋ
모델	m o̞ d e̞ ɭ
모뎀	m o̞ d e̞ m
모독	m o̞ː d o̞ k̚
모두	m o̞ d u
모듈	m o̞ d j u ɭ
모드	m o̞ d ɯ
모든	m o̞ː d ɯ n
모듬	m o̞ d ɯ m
모란	m o̞ ɾ a̠ n
모란봉	m o̞ ɾ a̠ n b o̞ ŋ
모로코	m o̞ ɾ o̞ kʰ o̞
모루	m o̞ː ɾ u
모르핀	m o̞ ɾ ɯ pʰ i n
모리셔스	m o̞ ɾ i ɕʰ ʌ̹ sʰ ɯ
모방	m o̞ b a̠ ŋ
모사	m o̞ sʰ a̠
모서리	m o̞ sʰ ʌ̹ ɾ i
모세혈관	m o̞ sʰ e̞ ʝ j ʌ̹ ɭ ɡ w a̠ n
모순	m o̞ sʰ u n
모스코븀	m o̞ sʰ ɯ kʰ o̞ b j u m
모스크	m o̞ sʰ ɯ k x ɯ
모스크바	m o̞ sʰ ɯ k x ɯ b a̠
모습	m o̞ sʰ ɯ p̚
모시다	m o̞ː ɕʰ i d a̠
모양	m o̞ j a̠ ŋ
모어	m o̞ː ʌ̹
모에	m o̞ e̞
모오케	m o̞ o̞ kʰ e̞
모욕	m o̞ː j o k̚
모으다	m o̞ ɯ d a̠
모음	m o̞ː ɯ m
모음조화	m o̞ː ɯ m d͡ʑ o̞ β w a̠
모이	m o̞ i
모이다	m o̞ i d a̠
모임	m o̞ i m
모자라다	m o̞ː d͡ʑ a̠ ɾ a̠ d a̠
모잠비크	m o̞ d͡ʑ a̠ m b i k x ɯ
모전	m o̞ d͡ʑ ʌ̹ n
모조리	m o̞ d͡ʑ o̞ ɾ i
모처럼	m o̞ t͡ɕʰ ʌ̹ ɾ ʌ̹ m
모터보트	m o̞ tʰ ʌ̹ b o̞ tʰ ɯ
모텔	m o̞ tʰ e̞ ɭ
모토	m o̞ tʰ o̞
모퉁이	m o̞ tʰ u ŋ i
모피	m o̞ pʰ i
모험	m o̞ː ɦ ʌ̹ m
모형	m o̞ ʝ j ʌ̹ ŋ
모호하다	m o̞ β o̞ ɦ a̠ d a̠
목격자	m o̞ k̚ k͈ j ʌ̹ k̚ t͡ɕ͈ a̠
목구멍	m o̞ k̚ k͈ u m ʌ̹ ŋ
목란	m o̞ ŋ n a̠ n
목련	m o̞ ŋ ɲ j ʌ̹ n
목마	m o̞ ŋ m a̠
목마르다	m o̞ ŋ m a̠ ɾ ɯ d a̠
목발	m o̞ k̚ p͈ a̠ ɭ
목사	m o̞ k s͈ a̠
목사님	m o̞ k s͈ a̠ n i m
목석	m o̞ k s͈ ʌ̹ k̚
목수	m o̞ k s͈ u
목슈권	m o̞ k ɕ͈ u ɡ w ʌ̹ n
목요일	m o̞ ɡ j o i ɭ
목욕	m o̞ ɡ j o k̚
목욕탕	m o̞ ɡ j o k̚ tʰ a̠ ŋ
목장	m o̞ k̚ t͡ɕ͈ a̠ ŋ
목적	m o̞ k̚ t͡ɕ͈ ʌ̹ k̚
목전	m o̞ k̚ t͡ɕ͈ ʌ̹ n
목젖	m o̞ k̚ t͡ɕ͈ ʌ̹ t̚
목차	m o̞ k̚ t͡ɕʰ a̠
목청	m o̞ k̚ t͡ɕʰ ʌ̹ ŋ
목청껏	m o̞ k̚ t͡ɕʰ ʌ̹ ŋ k͈ ʌ̹ t̚
목표	m o̞ k̚ pʰ j o
몫몫이	m o̞ ŋ m o̞ k ɕ͈ i
몬로비아	m o̞ ɭ ɭ o̞ b i a̠
몬순	m o̞ n sʰ u n
몬테네그로	m o̞ n tʰ e̞ n e̞ ɡ ɯ ɾ o̞
몬테비데오	m o̞ n tʰ e̞ b i d e̞ o̞
몬트리올	m o̞ n tʰ ɯ ɾ i o̞ ɭ
몰골	m o̞ ɭ ɡ o̞ ɭ
몰다	m o̞ː ɭ d a̠
몰도바	m o̞ ɭ d o̞ b a̠
몰디브	m o̞ ɭ d i b ɯ
몰라	m o̞ ɭ ɭ a̠
몰상식	m o̞ ɭ s͈ a̠ ŋ ɕʰ i k̚
몰카	m o̞ ɭ kʰ a̠
몰타	m o̞ ɭ tʰ a̠
몰타어	m o̞ ɭ tʰ a̠ ʌ̹
몸살	m o̞ m sʰ a̠ ɭ
몸소	m o̞ m sʰ o̞
몸조리	m o̞ m d͡ʑ o̞ ɾ i
몸짓	m o̞ m t͡ɕ͈ i t̚
몸통	m o̞ m tʰ o̞ ŋ
몹시	m o̞ː p ɕ͈ i
못지않다	m o̞ː t̚ t͡ɕ͈ i a̠ n tʰ a̠
못하다	m o̞ tʰ a̠ d a̠
몽고	m o̞ ŋ ɡ o̞
몽골	m o̞ ŋ ɡ o̞ ɭ
몽둥이	m o̞ ŋ d u ŋ i
몽따쥬	m o̞ ŋ t͈ a̠ d͡ʑ u
몽어	m o̞ ŋ ʌ̹
몽정	m o̞ː ŋ d͡ʑ ʌ̹ ŋ
몽타주	m o̞ ŋ tʰ a̠ d͡ʑ u
묘미	m j oː m i
묘사	m j oː sʰ a̠
묘사하다	m j oː sʰ a̠ ɦ a̠ d a̠
묘지	m j oː d͡ʑ i
무겁다	m u ɡ ʌ̹ p̚ t͈ a̠
무게	m u ɡ e̞
무국적	m u ɡ u k̚ t͡ɕ͈ ʌ̹ k̚
무궁화	m u ɡ u ŋ β w a̠
무기고	m uː ɡ i ɡ o̞
무너지다	m u n ʌ̹ d͡ʑ i d a̠
무능	m u n ɯ ŋ
무늬	m u n i
무당	m uː d a̠ ŋ
무덥다	m u d ʌ̹ p̚ t͈ a̠
무디다	m u d i d a̠
무뚝뚝하다	m u t͈ u k̚ t͈ u kʰ a̠ d a̠
무려	m u ɾ j ʌ̹
무력	m u ɾ j ʌ̹ k̚
무렵	m u ɾ j ʌ̹ p̚
무례	m u ɾ j e̞
무료	m u ɾ j o
무르다	m u ɾ ɯ d a̠
무릇	m u ɾ ɯ t̚
무릎	m u ɾ ɯ p̚
무리	m u ɾ i
무리하다	m u ɾ i ɦ a̠ d a̠
무마	m u m a̠
무명	m u m j ʌ̹ ŋ
무모하다	m u m o̞ ɦ a̠ d a̠
무빙워크	m u b i ŋ w ʌ̹ k x ɯ
무서움	m u sʰ ʌ̹ u m
무선	m u sʰ ʌ̹ n
무선전화	m u sʰ ʌ̹ ɲ d͡ʑ ʌ̹ n β w a̠
무섭다	m u sʰ ʌ̹ p̚ t͈ a̠
무속	m uː sʰ o̞ k̚
무속인	m uː sʰ o̞ ɡ i n
무쇠	m u sʰ w e̞
무술	m uː sʰ u ɭ
무스카트	m u sʰ ɯ kʰ a̠ tʰ ɯ
무승부	m u sʰ ɯ ŋ b u
무시하다	m u ɕʰ i ɦ a̠ d a̠
무신론	m u ɕʰ i n n o̞ n
무언가	m u ʌ̹ n ɡ a̠
무언증	m u ʌ̹ ɲ t͡ɕ͈ ɯ ŋ
무얼	m u ʌ̹ ɭ
무엇	m u ʌ̹ t̚
무역	m uː j ʌ̹ k̚
무예	m uː j e̞
무인도	m u i n d o̞
무인점포	m u i ɲ d͡ʑ ʌ̹ m pʰ o̞
무장하다	m uː d͡ʑ a̠ ŋ ɦ a̠ d a̠
무정부주의	m u d͡ʑ ʌ̹ ŋ b u d͡ʑ u ɰ i
무제한	m u d͡ʑ e̞ ɦ a̠ n
무조건	m u d͡ʑ o̞ k͈ ʌ̹ n
무죄	m u d͡ʑ w e̞
무중력	m u d͡ʑ u ŋ ɲ j ʌ̹ k̚
무지하다	m u d͡ʑ i ɦ a̠ d a̠
무진	m u d͡ʑ i n
무진장	m u d͡ʑ i ɲ d͡ʑ a̠ ŋ
무찌르다	m u t͡ɕ͈ i ɾ ɯ d a̠
무척	m u t͡ɕʰ ʌ̹ k̚
무치다	m u t͡ɕʰ i d a̠
무쿠리	m u kʰ u ɾ i
무탈	m u tʰ a̠ ɭ
무한	m u ɦ a̠ n
무화과	m u β w a̠ ɡ w a̠
묵가	m u k̚ k͈ a̠
묵은지	m u ɡ ɯ ɲ d͡ʑ i
묶음	m u k͈ ɯ m
문과	m u n k͈ w a̠
문구	m u n ɡ u
문둥이	m u n d u ŋ i
문란	m uː ɭ ɭ a̠ n
문명	m u n m j ʌ̹ ŋ
문바람	m u n b a̠ ɾ a̠ m
문방	m u n b a̠ ŋ
문법	m u n p͈ ʌ̹ p̚
문어	m u n ʌ̹
문제	m uː ɲ d͡ʑ e̞
문제점	m u ɲ d͡ʑ e̞ d͡ʑ ʌ̹ m
문진	m u ɲ d͡ʑ i n
문턱	m u n tʰ ʌ̹ k̚
문학	m u n ɦ a̠ k̚
문헌	m u n ɦ ʌ̹ n
문혁	m u n ʝ j ʌ̹ k̚
문화	m u n β w a̠
문화어	m u n β w a̠ ʌ̹
문화적	m u n β w a̠ d͡ʑ ʌ̹ k̚
물가	m u ɭ k͈ a̠
물건	m u ɭ ɡ ʌ̹ n
물결길이	m u ɭ ɡ j ʌ̹ ɭ ɡ i ɾ i
물고기알	m u ɭ ɡ o̞ ɡ i a̠ ɭ
물기	m u ɭ k͈ i
물놀이장	m u ɭ ɭ o̞ ɾ i d͡ʑ a̠ ŋ
물들다	m u ɭ d ɯ ɭ d a̠
물들이다	m u ɭ d ɯ ɾ i d a̠
물러나다	m u ɭ ɭ ʌ̹ n a̠ d a̠
물러서다	m u ɭ ɭ ʌ̹ sʰ ʌ̹ d a̠
물레	m u ɭ ɭ e̞
물리학	m u ʎ ʎ i ɦ a̠ k̚
물리학자	m u ʎ ʎ i ɦ a̠ k̚ t͡ɕ͈ a̠
물리화학	m u ʎ ʎ i β w a̠ ɦ a̠ k̚
물만두	m u ɭ m a̠ n d u
물망초	m u ɭ m a̠ ŋ t͡ɕʰ o̞
물방울	m u ɭ p͈ a̠ ŋ u ɭ
물범	m u ɭ b ʌ̹ m
물소	m u ɭ s͈ o̞
물수리	m u ɭ s͈ u ɾ i
물시계	m u ɭ ɕ͈ i ɡ j e̞
물어뜯다	m u ɾ ʌ̹ t͈ ɯ t̚ t͈ a̠
물어보다	m u ɾ ʌ̹ b o̞ d a̠
물음	m u ɾ ɯ m
물증	m u ʎ d͡ʑ ɯ ŋ
물질	m u ʎ t͡ɕ͈ i ɭ
물체	m u ʎ t͡ɕʰ e̞
물통	m u ɭ tʰ o̞ ŋ
물푸레나무	m u ɭ pʰ u ɾ e̞ n a̠ m u
묽다	m u k̚ t͈ a̠
뭄바이	m u m b a̠ i
뮌헨	m ɥ i n ɦ e̞ n
미각	m i ɡ a̠ k̚
미국	m i ɡ u k̚
미국오리	m i ɡ u ɡ o̞ ɾ i
미국인	m i ɡ u ɡ i n
미꾸라지	m i k͈ u ɾ a̠ d͡ʑ i
미끄럽다	m i k͈ ɯ ɾ ʌ̹ p̚ t͈ a̠
미나리	m i n a̠ ɾ i
미남	m iː n a̠ m
미녀	m iː ɲ j ʌ̹
미니버스	m i n i b ʌ̹ sʰ ɯ
미니스커트	m i n i sʰ ɯ kʰ ʌ̹ tʰ ɯ
미덕	m iː d ʌ̹ k̚
미디어	m i d i ʌ̹
미라	m i ɾ a̠
미루다	m i ɾ u d a̠
미르	m i ɾ ɯ
미륵	m i ɾ ɯ k̚
미리보기	m i ɾ i b o̞ ɡ i
미모	m iː m o̞
미분	m i b u n
미사	m i sʰ a̠
미사일	m i sʰ a̠ i ɭ
미상	m iː sʰ a̠ ŋ
미성	m iː sʰ ʌ̹ ŋ
미성숙하다	m iː sʰ ʌ̹ ŋ sʰ u kʰ a̠ d a̠
미소녀	m iː sʰ o̞ ɲ j ʌ̹
미소짓다	m i sʰ o̞ d͡ʑ i t̚ t͈ a̠
미수	m i sʰ u
미술	m iː sʰ u ɭ
미술관	m iː sʰ u ɭ ɡ w a̠ n
미스	m i sʰ ɯ
미스터	m i sʰ ɯ tʰ ʌ̹
미아	m i a̠
미안	m i a̠ n
미얀마	m i j a̠ n m a̠
미어	m i ʌ̹
미어지다	m i ʌ̹ d͡ʑ i d a̠
미역	m i j ʌ̹ k̚
미역국	m i j ʌ̹ k̚ k͈ u k̚
미용실	m iː j o ŋ ɕʰ i ɭ
미적분	m i d͡ʑ ʌ̹ k̚ p͈ u n
미적지근하다	m i d͡ʑ ʌ̹ k̚ t͡ɕ͈ i ɡ ɯ n ɦ a̠ d a̠
미주	m i d͡ʑ u
미주알	m i d͡ʑ u a̠ ɭ
미주알고주알	m i d͡ʑ u a̠ ɭ ɡ o̞ d͡ʑ u a̠ ɭ
미지수	m iː d͡ʑ i sʰ u
미처	m i t͡ɕʰ ʌ̹
미치광이	m i t͡ɕʰ i ɡ w a̠ ŋ i
미치다	m i t͡ɕʰ i d a̠
미카엘	m i kʰ a̠ e̞ ɭ
미터	m i tʰ ʌ̹
미팅	m i tʰ i ŋ
미학	m iː ɦ a̠ k̚
미합중국	m i ɦ a̠ p̚ t͡ɕ͈ u ŋ ɡ u k̚
미혼모	m iː β o̞ n m o̞
민간	m i n ɡ a̠ n
민감	m i n ɡ a̠ m
민감하다	m i n ɡ a̠ m ɦ a̠ d a̠
민국	m i n ɡ u k̚
민낯	m i n n a̠ t̚
민망	m i n m a̠ ŋ
민병	m i n b j ʌ̹ ŋ
민서	m i n s͈ ʌ̹
민속	m i n sʰ o̞ k̚
민요	m i ɲ j o
민족주의	m i ɲ d͡ʑ o̞ k̚ t͡ɕ͈ u ɰ i
민주	m i ɲ d͡ʑ u
민주주의	m i ɲ d͡ʑ u d͡ʑ u ɰ i
민중	m i ɲ d͡ʑ u ŋ
민화	m i n β w a̠
믿다	m i t̚ t͈ a̠
믿음	m i d ɯ m
밀가루	m i ɭ k͈ a̠ ɾ u
밀도	m i ɭ t͈ o̞
밀랍	m i ɭ ɭ a̠ p̚
밀리다	m i ʎ ʎ i d a̠
밀리미터	m i ʎ ʎ i m i tʰ ʌ̹
밀림	m i ʎ ʎ i m
밀어	m i ɾ ʌ̹
밀월	m i ɾ w ʌ̹ ɭ
밀치다	m iː ʎ t͡ɕʰ i d a̠
밀크	m i ɭ k x ɯ
밉다	m iː p̚ t͈ a̠
바게트	p͈ a̠ ɡ e̞ tʰ ɯ
바곤	p a̠ ɡ o̞ n
바구니	p a̠ ɡ u n i
바그다드	p a̠ ɡ ɯ d a̠ d ɯ
바그르르	p a̠ ɡ ɯ ɾ ɯ ɾ ɯ
바글바글	p a̠ ɡ ɯ ɭ b a̠ ɡ ɯ ɭ
바깥	p a̠ k͈ a̠ t̚
바깥어른	p a̠ k͈ a̠ d ʌ̹ ɾ ɯ n
바깥쪽	p a̠ k͈ a̠ t̚ t͡ɕ͈ o̞ k̚
바뀌다	p a̠ k͈ ɥ i d a̠
바누아투	p a̠ n u a̠ tʰ u
바늘	p a̠ n ɯ ɭ
바다	p a̠ d a̠
바다사자	p a̠ d a̠ sʰ a̠ d͡ʑ a̠
바다코끼리	p a̠ d a̠ kʰ o̞ k͈ i ɾ i
바다표범	p a̠ d a̠ pʰ j o b ʌ̹ m
바닷가	p a̠ d a̠ t̚ k͈ a̠
바닷물	p a̠ d a̠ n m u ɭ
바둑	p a̠ d u k̚
바라다	p a̠ ɾ a̠ d a̠
바라보다	p a̠ ɾ a̠ b o̞ d a̠
바람	p a̠ ɾ a̠ m
바람둥이	p a̠ ɾ a̠ m d u ŋ i
바람직하다	p a̠ ɾ a̠ m d͡ʑ i kʰ a̠ d a̠
바레인	p a̠ ɾ e̞ i n
바로	p a̠ ɾ o̞
바로잡다	p a̠ ɾ o̞ d͡ʑ a̠ p̚ t͈ a̠
바륨	p a̠ ɾ j u m
바르다	p a̠ ɾ ɯ d a̠
바르샤바	p a̠ ɾ ɯ ɕʰ a̠ b a̠
바리	p a̠ ɾ i
바마코	p a̠ m a̠ kʰ o̞
바베이도스	p a̠ b e̞ i d o̞ sʰ ɯ
바보	p a̠ː b o̞
바쁘다	p a̠ p͈ ɯ d a̠
바수다	p a̠ sʰ u d a̠
바스라기	p a̠ sʰ ɯ ɾ a̠ ɡ i
바스락바스락	p a̠ sʰ ɯ ɾ a̠ k̚ p͈ a̠ sʰ ɯ ɾ a̠ k̚
바싹	p a̠ s͈ a̠ k̚
바알	p a̠ a̠ ɭ
바오로	p a̠ o̞ ɾ o̞
바오즈	p a̠ o̞ d͡ʑ ɯ
바위	p a̠ ɥ i
바이든	p a̠ i d ɯ n
바이러스	p a̠ i ɾ ʌ̹ sʰ ɯ
바이블	p a̠ i b ɯ ɭ
바이슨	p a̠ i sʰ ɯ n
바이오	p a̠ i o̞
바이올린	p a̠ i o̞ ʎ ʎ i n
바이트	p a̠ i tʰ ɯ
바자회	p a̠ d͡ʑ a̠ β w e̞
바지	p a̠ d͡ʑ i
바지락	p a̠ d͡ʑ i ɾ a̠ k̚
바질	p a̠ d͡ʑ i ɭ
바쿠	p a̠ kʰ u
바퀴	p a̠ kʰ ɥ i
바탕	p a̠ tʰ a̠ ŋ
바텐더	p a̠ tʰ e̞ n d ʌ̹
바티칸	p a̠ tʰ i kʰ a̠ n
바하마	p a̠ ɦ a̠ m a̠
박동	p a̠ k̚ t͈ o̞ ŋ
박람회	p a̠ ŋ n a̠ m β w e̞
박물관	p a̠ ŋ m u ɭ ɡ w a̠ n
박사	p a̠ k s͈ a̠
박수	p a̠ k s͈ u
박스	p a̠ k s͈ ɯ
박이	p a̠ ɡ i
박제	p a̠ k̚ t͡ɕ͈ e̞
박쥐	p a̠ː k̚ t͡ɕ͈ ɥ i
박차	p a̠ k̚ t͡ɕʰ a̠
박치기	p a̠ k̚ t͡ɕʰ i ɡ i
박테리아	p a̠ k̚ tʰ e̞ ɾ i a̠
박하	p a̠ kʰ a̠
밖에	p a̠ k͈ e̞
반경	p a̠ː n ɡ j ʌ̹ ŋ
반구	p a̠ː n ɡ u
반년	p a̠ː n ɲ j ʌ̹ n
반도	p a̠ː n d o̞
반도체	p a̠ː n d o̞ t͡ɕʰ e̞
반드시	p a̠ n d ɯ ɕʰ i
반듯이	p a̠ n d ɯ ɕʰ i
반듯하다	p a̠ n d ɯ tʰ a̠ d a̠
반딧불	p a̠ n d i t̚ p͈ u ɭ
반딧불이	p a̠ n d i t̚ p͈ u ɾ i
반려	p a̠ː ʎ ʎ j ʌ̹
